"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",171.757665917923,0.0390687395667861,2.05076199817049,167.72728521794,170.376915384621,171.763463721367,173.116134684894,175.811793002272,2755.31795111723,1.0001119010633
"b_k_Intercept",4.18934407216033,0.00287733835066295,0.143210077370358,3.91547742114831,4.09330838589432,4.18420575023949,4.28436836935096,4.48187872698418,2477.22406456645,1.00087966935967
"b_I_Intercept",150.957854461354,0.0215993425249169,0.995423340997317,149.031577622598,150.275729531703,150.965257407112,151.630526685349,152.925789222351,2123.9025032679,1.00202668340346
"b_Hmin_Intercept",18.4740336950778,0.00908389396802681,0.908389396802681,16.6656800840147,17.8687839852292,18.4848866549072,19.0782617018646,20.2365078679396,10000,1.00005917292537
"sd_ID__Hmax_Intercept",23.2002447739987,0.0288414478991163,1.55795112130067,20.2629951060705,22.1295301323124,23.1595498112705,24.2214896147568,26.3927746664228,2917.92105734009,1.00028688711124
"sd_ID__k_Intercept",0.710875742501062,0.00937357482659092,0.226772231282654,0.139267226651794,0.593021204693376,0.741096740980517,0.864996593042781,1.07700519697545,585.287495058761,1.00419936929072
"sd_ID__I_Intercept",10.7722390218493,0.0141530716315356,0.739376764519739,9.40101740152779,10.2558840563507,10.7520692852907,11.2660457354377,12.275868778712,2729.16747793171,1.00105610302526
"sigma",11.0212796975899,0.0163728123090032,0.487569652391564,10.1080965849848,10.677301473773,11.0051356780877,11.3382665301329,12.0241622257482,886.802207985126,1.00299715724563
"r_ID__Hmax[Da_Ae,Intercept]",24.3493551360599,0.110013411003645,11.0013411003645,3.38757367254809,16.7942979973191,24.0909835626728,31.5754982768392,46.9516919786903,10000,1.00006301181464
"r_ID__Hmax[Da_Ol1,Intercept]",-16.4545543938043,0.138541358918192,10.6379814504785,-35.4047933273753,-23.7273675956627,-17.1454835751171,-9.95754119559424,6.45456326438732,5896.02845729125,1.0001780902585
"r_ID__Hmax[F1,Intercept]",22.0919633422412,0.0925807605120274,9.25807605120274,4.242708538732,15.8020223049524,21.8441996574056,28.1857319740037,40.5890232186919,10000,0.999749064811204
"r_ID__Hmax[ID_1,Intercept]",40.2239457536493,0.0997604069509528,9.97604069509528,21.3204893575999,33.3299975561035,40.0845243185859,46.8191071056767,60.5703287976675,10000,1.00013182134217
"r_ID__Hmax[ID_10,Intercept]",20.3081602890037,0.0997166576012077,9.97166576012077,1.34947237095383,13.585564368043,20.0216470721177,26.9259064051833,40.3724378407703,10000,0.999980219256604
"r_ID__Hmax[ID_100,Intercept]",-7.80353233056173,0.089244041087831,8.9244041087831,-24.5844225870369,-14.022218299238,-8.08168073865589,-1.90490758608081,10.6062667812033,10000,1.00010348141842
"r_ID__Hmax[ID_101,Intercept]",-4.98320509507782,0.0814633733306296,8.14633733306296,-20.2032647943338,-10.5665390349605,-5.12023105127862,0.240444374712105,11.760028992389,10000,1.00037126988569
"r_ID__Hmax[ID_102,Intercept]",-18.2044612092153,0.114426345684659,10.1087364140186,-36.7387034526251,-25.2282313513924,-18.6207966612512,-11.8132097621663,2.96803057520775,7804.43895108659,1.00054305902806
"r_ID__Hmax[ID_103,Intercept]",-17.6215346000107,0.102254075128493,9.38094329778619,-34.8820434242739,-24.0245223679533,-18.0514217819427,-11.770969177717,2.23415571209352,8416.50473216573,0.999748002592609
"r_ID__Hmax[ID_104,Intercept]",14.734954342066,0.103895234592744,10.3895234592744,-4.87916378404312,7.61784308895834,14.3963987390747,21.5943375916532,36.0970607906319,10000,0.999986633751741
"r_ID__Hmax[ID_105,Intercept]",20.4311547286516,0.107257083728919,10.7257083728919,0.0899924872857531,13.0143141807219,19.9836616347435,27.4201738979439,42.7076254762694,10000,1.00006085315703
"r_ID__Hmax[ID_106,Intercept]",-5.59652540298487,0.0976849399297895,9.76849399297895,-23.9293355462559,-12.2417106015201,-5.94295851763889,0.847505722123654,14.4343959633363,10000,0.999805690630906
"r_ID__Hmax[ID_107,Intercept]",36.6768059091721,0.109251005142308,10.9251005142308,15.6525136872526,29.2078119333338,36.4961423241777,43.9970158059736,58.3289851393506,10000,0.999978731316607
"r_ID__Hmax[ID_109,Intercept]",5.36739188697636,0.141318313581842,11.4279513050485,-16.2339147593146,-2.44454022789656,5.14413849853653,12.6070114656274,29.3759732330225,6539.42961921491,1.00039024354734
"r_ID__Hmax[ID_111,Intercept]",0.710308533918439,0.0991903884695658,9.91903884695658,-17.8937995567174,-6.01649880406589,0.384047462289679,7.18680083650171,21.0329169358986,10000,1.00000610813911
"r_ID__Hmax[ID_112,Intercept]",4.03458286793629,0.0959302670027153,9.59302670027153,-13.9437506843051,-2.55136278546519,3.60118636900826,10.4577072516974,23.6846239596378,10000,0.999819488846901
"r_ID__Hmax[ID_113,Intercept]",34.0874754245169,0.0999406399029468,9.99406399029468,15.0862309521458,27.1809825396962,33.831961490089,40.6594901695706,54.4657163812298,10000,1.0002125625822
"r_ID__Hmax[ID_114,Intercept]",18.1397988493915,0.130124133767964,11.0202397369326,-2.13426816483714,10.659275717676,17.7179683786152,25.2438036140019,40.6744606575101,7172.43104771188,1.00021740460915
"r_ID__Hmax[ID_116,Intercept]",-7.50680484299052,0.0941262675706758,9.41262675706758,-25.1461915060672,-13.9467264719265,-7.68203364748358,-1.48227258727238,11.462066859112,10000,0.999988449929857
"r_ID__Hmax[ID_117,Intercept]",-9.72857684424925,0.123039634941032,12.3039634941032,-33.207966593565,-18.1147353743029,-10.0079957244159,-1.66765879746256,15.3723247803709,10000,0.99998316153414
"r_ID__Hmax[ID_118,Intercept]",-1.43906645014485,0.133175371786223,11.0009351720398,-21.4722468625968,-9.03973708656653,-1.90394595096701,5.58223388113414,21.5864914752214,6823.56566226666,1.00052901890731
"r_ID__Hmax[ID_119,Intercept]",-33.3644362383819,0.113233653758529,11.3233653758529,-54.5695001552137,-41.1580059892084,-33.741472513506,-26.2165985784815,-9.89132957068926,10000,1.00019099444807
"r_ID__Hmax[ID_12,Intercept]",13.0527036714317,0.103131414251385,9.71666909496754,-5.69554141938424,6.3135914342044,12.945742856266,19.5284770726684,32.3418917830476,8876.72731988693,0.999668628418064
"r_ID__Hmax[ID_120,Intercept]",25.1826928947064,0.0902279589191501,9.02279589191501,8.10169756364905,19.0423751861616,24.9715414686679,31.1664936010055,43.3354338273095,10000,0.999918749186199
"r_ID__Hmax[ID_121,Intercept]",-34.9046331521661,0.100115126097445,10.0115126097445,-53.4751244610362,-41.7514852357855,-35.2297298131822,-28.2001066129261,-14.3796068321823,10000,1.0002281183859
"r_ID__Hmax[ID_122,Intercept]",16.1192447094083,0.106034484166636,10.6034484166636,-4.43744210578954,9.00955771192287,15.8761911993802,23.0837825758307,37.2740556262341,10000,0.999884699217828
"r_ID__Hmax[ID_123,Intercept]",-2.1577187904548,0.0985817141627276,9.85817141627276,-20.7876923041854,-8.91328792029931,-2.42776128318242,4.38492245627778,17.6761334366065,10000,0.999983889661241
"r_ID__Hmax[ID_124,Intercept]",-17.6863484827097,0.121768501836915,10.4855094614615,-37.5760346604079,-24.8522138848376,-17.9649612558264,-10.8448951357118,4.21427068394671,7414.96571607133,0.999906700478739
"r_ID__Hmax[ID_125,Intercept]",-44.0700208416408,0.122482548663214,10.6235041224925,-63.5754824837845,-51.3245994383709,-44.5405483335626,-37.4366019312925,-21.3744564903328,7522.93227352399,0.99990618627058
"r_ID__Hmax[ID_126,Intercept]",-26.3801883761206,0.10616314391953,10.616314391953,-46.0101246038124,-33.7196352008772,-26.8123117492021,-19.700480061997,-4.3364195468805,10000,1.00027037818684
"r_ID__Hmax[ID_127,Intercept]",16.8038129526711,0.104463412790695,10.4463412790695,-2.72722628104833,9.63403266516078,16.4829799493169,23.5596204181551,38.0302591394492,10000,1.00054822231741
"r_ID__Hmax[ID_128,Intercept]",-5.94178754279101,0.104907192602665,10.4907192602665,-26.2624445672832,-12.9117946847814,-6.13909405891921,1.01800339120354,14.913741305429,10000,1.0003114113018
"r_ID__Hmax[ID_129,Intercept]",-40.9969076814846,0.109637589426524,10.9637589426524,-61.7635597934476,-48.4192024803543,-41.2389672587003,-33.7659278838975,-18.9218662734695,10000,1.00020805175318
"r_ID__Hmax[ID_13,Intercept]",-5.46548811371996,0.085482865501164,8.5482865501164,-21.8960982867491,-11.3055486005081,-5.58322709684042,0.313683733351452,11.6749941134602,10000,0.999938724706685
"r_ID__Hmax[ID_130,Intercept]",-4.37565904995093,0.0936927165534091,9.3692716553409,-21.9392949275298,-10.7319895924274,-4.76732674914669,1.57702525785888,15.0816508548036,10000,0.999979519861176
"r_ID__Hmax[ID_132,Intercept]",-12.2212899603655,0.102140361953237,10.2140361953237,-31.1250316274949,-19.1373727034524,-12.6803760486181,-5.61633821988872,9.09673507846914,10000,1.00001612443239
"r_ID__Hmax[ID_133,Intercept]",33.1123083675897,0.150107859171169,11.5329064535573,11.6859058519958,25.0987937661681,32.7185044088878,40.7172476921173,56.5672145769792,5902.97136506798,1.0002039531317
"r_ID__Hmax[ID_134,Intercept]",-30.0827195500063,0.0881603860844021,8.81603860844021,-46.7440018458403,-36.1581708022572,-30.2472109441491,-24.2536635793248,-12.2599537583994,10000,0.999890340756797
"r_ID__Hmax[ID_135,Intercept]",18.5150802918794,0.111827121860485,11.1827121860485,-2.43734066717425,10.8162969734033,18.0843140505159,25.687002335412,41.2396279830808,10000,0.999912423086659
"r_ID__Hmax[ID_136,Intercept]",25.5357390039747,0.0926435553811283,9.26435553811283,7.70611059840563,19.3449278054942,25.298437806952,31.473127948366,44.5002727487326,10000,0.999758329913659
"r_ID__Hmax[ID_137,Intercept]",1.74730433378076,0.348234421868449,15.5861342251789,-23.7351502463001,-9.40330978370366,-0.150577459586619,10.9571804823772,36.8185455981141,2003.24205470581,1.00125100776972
"r_ID__Hmax[ID_138,Intercept]",3.26482878500776,0.0897007921099024,8.97007921099024,-13.5039265840472,-2.79248717259581,2.97857230764997,9.08785485691823,21.6973035583154,10000,1.0004024881289
"r_ID__Hmax[ID_139,Intercept]",-15.6958693170833,0.117714290304623,10.6738642214832,-35.3533470795335,-22.9495128164766,-16.057052213638,-8.89244410724979,6.35125060491629,8222.14195806306,1.00018197420767
"r_ID__Hmax[ID_14,Intercept]",12.8820186864101,0.0972007868490812,9.72007868490812,-5.56446438500405,6.28096843912488,12.7831428970058,19.2520833987687,32.3301180851521,10000,1.00008110203091
"r_ID__Hmax[ID_142,Intercept]",-20.7617376672589,0.0940115073844565,9.40115073844565,-38.4039785282324,-27.1490486828088,-21.0327921837751,-14.7307793624038,-1.47742723137934,10000,1.00069841676688
"r_ID__Hmax[ID_143,Intercept]",7.07236692461475,0.0806797438150454,8.06797438150454,-8.14692823877743,1.51661014395353,6.94087308959734,12.603977277784,23.2946515693034,10000,1.00002248605503
"r_ID__Hmax[ID_144,Intercept]",-3.75130000090962,0.0794188746638941,7.94188746638941,-18.9876157620281,-9.11295644399607,-3.85372570527263,1.41348236944621,12.4160270170107,10000,1.00007498521262
"r_ID__Hmax[ID_147,Intercept]",-8.10448567809129,0.0874338328854082,8.74338328854082,-24.7362448505649,-13.9520004742749,-8.22420342173172,-2.34792888265429,9.5894258740545,10000,0.999929888100047
"r_ID__Hmax[ID_148,Intercept]",-8.55560525063724,0.0897407710831063,8.97407710831063,-25.4468434735536,-14.6787884816229,-8.67221551169203,-2.73799383112863,9.62295593483636,10000,1.00013096357015
"r_ID__Hmax[ID_15,Intercept]",25.1217663257571,0.109013360086636,10.9013360086636,4.28062171950442,17.7239762749515,24.9296654454172,32.2530063612807,47.1758715541637,10000,0.999844491630853
"r_ID__Hmax[ID_152,Intercept]",26.3424186747963,0.107794843223026,9.66803884665447,7.8843359634274,19.7596301332515,26.1219132128511,32.6776050996821,45.6812923887762,8044.16190522263,1.00008579574341
