ID,date,days,height
ID_1,12/18/15,101,19
ID_1,1/20/16,134,41
ID_1,2/17/16,162,127
ID_1,3/16/16,190,172
ID_1,5/13/16,248,221
ID_10,12/18/15,101,20
ID_10,1/20/16,134,37
ID_10,2/17/16,162,102
ID_10,3/16/16,190,158
ID_10,5/13/16,248,194
ID_100,12/18/15,101,14
ID_100,1/20/16,134,42
ID_100,2/17/16,162,110
ID_100,3/16/16,190,150
ID_100,5/13/16,248,154
ID_101,12/18/15,101,18
ID_101,1/20/16,134,57
ID_101,2/17/16,162,146
ID_101,3/16/16,190,147
ID_101,5/13/16,248,158
ID_102,12/18/15,101,11
ID_102,1/20/16,134,69
ID_102,2/17/16,162,81
ID_102,3/16/16,190,143
ID_102,5/13/16,248,143
ID_103,12/18/15,101,13
ID_103,1/20/16,134,81
ID_103,2/17/16,162,113
ID_103,3/16/16,190,130
ID_103,5/13/16,248,152
ID_104,12/18/15,101,14
ID_104,1/20/16,134,40
ID_104,2/17/16,162,110
ID_104,3/16/16,190,143
ID_104,5/13/16,248,192
ID_105,12/18/15,101,24
ID_105,1/20/16,134,46
ID_105,2/17/16,162,102
ID_105,3/16/16,190,152
ID_105,5/13/16,248,196
ID_106,12/18/15,101,14
ID_106,1/20/16,134,38
ID_106,2/17/16,162,93
ID_106,3/16/16,190,138
ID_106,5/13/16,248,162
ID_107,12/18/15,101,15
ID_107,1/20/16,134,34
ID_107,2/17/16,162,54
ID_107,3/16/16,190,140
ID_107,5/13/16,248,214
ID_109,12/18/15,101,17
ID_109,1/20/16,134,45
ID_109,2/17/16,162,92
ID_109,3/16/16,190,125
ID_109,5/13/16,248,181
ID_111,12/18/15,101,19
ID_111,1/20/16,134,40
ID_111,2/17/16,162,107
ID_111,3/16/16,190,137
ID_111,5/13/16,248,173
ID_112,12/18/15,101,15
ID_112,1/20/16,134,52
ID_112,2/17/16,162,130
ID_112,3/16/16,190,136
ID_112,5/13/16,248,181
ID_113,12/18/15,101,13
ID_113,1/20/16,134,58
ID_113,2/17/16,162,120
ID_113,3/16/16,190,175
ID_113,5/13/16,248,211
ID_114,12/18/15,101,18
ID_114,1/20/16,134,49
ID_114,2/17/16,162,125
ID_114,3/16/16,190,132
ID_114,5/13/16,248,202
ID_116,12/18/15,101,24
ID_116,1/20/16,134,39
ID_116,2/17/16,162,104
ID_116,3/16/16,190,140
ID_116,5/13/16,248,159
ID_117,12/18/15,101,22
ID_117,1/20/16,134,41
ID_117,2/17/16,162,43
ID_117,3/16/16,190,85
ID_117,5/13/16,248,160
