"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",21.9471257000257,0.009571257860675,0.46168908065719,21.102745394764,21.6298314391867,21.9242174521727,22.247806744618,22.907173396144,2326.8113463968,1.01043768336502
"b_k_Intercept",-7.61188940925064,0.0102178501580123,0.672971041917558,-8.96884223083936,-8.06385915333297,-7.60570427403262,-7.13675619019765,-6.33257775479988,4337.84165185754,1.0014399456903
"b_I_Intercept",149.197242377761,0.360552002132227,2.20424714883296,144.86759252421,147.687399570913,149.198690924101,150.672557390381,153.541510840771,37.3753056003753,1.0343526921704
"b_Hmin_Intercept",5.84149673078715,0.00197230763892118,0.197230763892118,5.45316428333518,5.70982257837678,5.84355664084043,5.97233224598885,6.22710034947785,10000,1.00610908608617
"sd_ID__Hmax_Intercept",2.82400002906895,0.00675629030543237,0.35266864812716,2.14842856964619,2.58889632295641,2.81507004200275,3.04837089803089,3.54008577149102,2724.69002519958,1.00257029535017
"sd_ID__k_Intercept",3.84072317251703,0.106499290351133,0.531293782290746,2.89200827094757,3.47090299709347,3.80639080726182,4.18392964042115,4.96821822174551,24.8872000633199,1.04060692296474
"sd_ID__I_Intercept",23.7511407123163,0.0305149661332412,1.64497403609879,20.7388453570923,22.6215067892271,23.6879836350741,24.7838741088265,27.1562343951278,2905.97792219694,1.00027342855218
"sigma",2.56752437088911,0.00220401242750117,0.108997831611166,2.36162188087008,2.4938093666454,2.56303741568737,2.63791904902685,2.79396857516542,2445.72508771757,1.0021417056008
"r_ID__Hmax[Da_Ae,Intercept]",2.25513334810405,0.01726087126917,1.726087126917,-0.639143096431414,1.09121750942408,2.07466754707926,3.18519498181404,6.2270370293341,10000,1.00196645716226
"r_ID__Hmax[Da_Ol1,Intercept]",-0.312745500564444,0.0296240576863982,2.96240576863982,-6.23648480954009,-2.21405162355031,-0.267158351193919,1.60368857695759,5.53511379427511,10000,1.00328755010535
"r_ID__Hmax[F1,Intercept]",-1.87043199312302,0.597766288417774,1.69036259768716,-3.9352124329203,-2.77934859934796,-2.13427811720267,-1.40346606904316,2.95251567134039,7.99644420473846,1.13461846016323
"r_ID__Hmax[ID_1,Intercept]",2.50204594505901,0.0230725641344572,2.30725641344572,-1.71948845671223,0.90360920915416,2.4070480394014,4.0150537872624,7.23457244889463,10000,1.00033037791288
"r_ID__Hmax[ID_10,Intercept]",-1.95573007480841,0.0234279450572401,2.34279450572401,-6.08843362668257,-3.58068718671737,-2.10134724632001,-0.480958758745207,3.01832666797648,10000,0.999811146065175
"r_ID__Hmax[ID_100,Intercept]",-0.263794675855322,0.0249156787577529,2.49156787577529,-4.99226982779352,-1.92482857376835,-0.349068464153907,1.33524033632352,4.83572170142669,10000,0.999759507585743
"r_ID__Hmax[ID_101,Intercept]",0.452798293104409,0.0228215157793792,2.28215157793792,-3.85899085426251,-1.09124130995603,0.370785640608276,1.91497978358071,5.2121455062445,10000,0.999728660287261
"r_ID__Hmax[ID_102,Intercept]",-1.03712015363732,0.0280488697781067,2.80488697781067,-6.4657405659424,-2.92376558825411,-1.00067499270777,0.811639391824344,4.59930702233144,10000,0.99972921758768
