"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",21.8045025787259,0.0122812841486209,0.45889912584732,20.9309955592632,21.493097228492,21.7919877258563,22.1030221571737,22.7411360907348,1396.19764636843,1.00304783156873
"b_k_Intercept",-7.76530296955528,0.0147808568019051,0.661375699213301,-9.08362628389681,-8.20184295986211,-7.75284830579334,-7.3171969388798,-6.48818098538491,2002.15293581418,1.00075703207392
"b_I_Intercept",150.308860871629,0.131019450345154,2.47719424486274,145.63564162158,148.60378546306,150.214890135376,151.93964675065,155.350643298861,357.477390022903,1.01342928305658
"b_Hmin_Intercept",5.77041286206636,0.00524698377922267,0.197022007807947,5.38684289323873,5.63688214896905,5.76784510370101,5.90446962912359,6.1605062412816,1409.9705378277,1.00412195126782
"sd_ID__Hmax_Intercept",2.99222427969041,0.00635196414228586,0.340273378695399,2.3473259076239,2.76073455039641,2.98308859417771,3.21289581184477,3.69111403702653,2869.72229110229,1.00371544572743
"sd_ID__k_Intercept",4.04055414182031,0.0116796797462896,0.520196433194475,3.1084299414622,3.67007992518994,4.01533057959961,4.3675416387964,5.13339281153548,1983.68573715963,1.00318888598703
"sd_ID__I_Intercept",26.1156724249927,0.0481537498651658,1.80273648876618,22.8707009330293,24.841758293333,26.0474295898924,27.2598878606203,29.8857722442222,1401.53605165277,1.0028447456962
"sigma",2.48695384669207,0.00236022074081427,0.108382168452925,2.28665320081451,2.4101064688149,2.48245163656806,2.55698785061788,2.71507286550528,2108.67877593924,1.00392644896618
"r_ID__Hmax[Da_Ae_1,Intercept]",-0.951106157073663,0.314240170056834,3.52933499079363,-5.67040419952247,-3.64620779944476,-2.05919124826634,1.40595776806413,7.12006771706694,126.142769396413,1.03318853433563
"r_ID__Hmax[Da_Ae_2,Intercept]",5.34474444065652,0.017009908640905,1.7009908640905,2.22208364308177,4.18510814849173,5.29322562040502,6.41298559822738,8.87806594631221,10000,1.00133646143801
"r_ID__Hmax[Da_Ol1_1,Intercept]",-0.496443527019474,0.0316570005102098,3.16570005102098,-6.75423937569005,-2.561531269246,-0.429515493808534,1.6449569862799,5.50220486100746,10000,1.00018498078505
"r_ID__Hmax[Da_Ol1_2,Intercept]",-1.24995309469404,0.0327319717162034,3.27319717162034,-7.88147394373773,-3.44744081938875,-1.18999566136672,0.970738102314653,5.09188032155588,10000,1.00042079478763
"r_ID__Hmax[Da_Ol1_3,Intercept]",-0.435675165667165,0.0316161017307704,3.16161017307704,-6.90843394951616,-2.46132102125248,-0.399972629734957,1.64923232399971,5.66563834129213,10000,1.00025790053256
"r_ID__Hmax[F1_1,Intercept]",-0.917390815743949,0.0140535625042132,1.40535625042132,-3.44864432852571,-1.84632437942623,-0.960304129195668,-0.0594347136082924,1.91223687244411,10000,1.00095075257919
"r_ID__Hmax[F1_2,Intercept]",-2.11696168342416,0.0794643480570642,2.04388889829333,-5.03347127450494,-3.34973444129677,-2.40959429639789,-1.35659989252797,3.51555251514408,661.561038181555,1.00609158287415
"r_ID__Hmax[F1_3,Intercept]",-1.61085832110391,0.0261511699573472,1.61126845452019,-4.31665393857495,-2.62521650826976,-1.73031935682368,-0.774114630517219,1.71407970905668,3796.23914120218,1.00010392594807
"r_ID__Hmax[ID_1,Intercept]",2.79119514838667,0.0231744672545706,2.31744672545706,-1.53408173510874,1.18293565894211,2.70782951430065,4.29610451344318,7.51242969956226,10000,0.999922403957652
"r_ID__Hmax[ID_10,Intercept]",-2.12725082009225,0.0272356097015864,2.3898946593948,-6.29212250172177,-3.7890350937986,-2.29033208581722,-0.657750792966272,3.00627067407343,7699.86859581847,1.00000749590283
"r_ID__Hmax[ID_100,Intercept]",-0.250232239013816,0.0264781370427439,2.64781370427439,-5.17935852784384,-2.0840838821338,-0.306070244095834,1.49376566349083,5.15597075466065,10000,1.00031189217313
"r_ID__Hmax[ID_101,Intercept]",0.548972809552963,0.0232626116316624,2.32626116316624,-3.79293624001691,-1.02706300567586,0.464227492154423,2.0205757024435,5.35510167322158,10000,0.999888026760511
"r_ID__Hmax[ID_102,Intercept]",-1.12445752563873,0.0301864467980727,3.01864467980727,-6.96584639534949,-3.17914060163732,-1.15366498876207,0.913655572253859,4.84331384278328,10000,0.999890240401531
"r_ID__Hmax[ID_103,Intercept]",1.28658120082243,0.0259184858113765,2.59184858113765,-3.82582600009168,-0.414877532926843,1.26893883180455,2.96247413739859,6.41219701124513,10000,0.999753906559067
"r_ID__Hmax[ID_104,Intercept]",-0.496932228290752,0.0373025081643214,2.98246968039677,-6.2279497622,-2.59066696142352,-0.482003907300311,1.57565208496257,5.29666198398761,6392.57756837294,0.999856715828531
"r_ID__Hmax[ID_105,Intercept]",0.901686563108508,0.018931191446018,1.8931191446018,-2.61840557365024,-0.39743765890719,0.829229323129612,2.13730194388318,4.81739427542097,10000,1.00009235718238
"r_ID__Hmax[ID_106,Intercept]",7.23018488907556,0.0176470248670452,1.76470248670452,3.76745455746176,6.03548717309663,7.21245761767799,8.40042105457341,10.6918205355265,10000,1.00106636986494
"r_ID__Hmax[ID_107,Intercept]",2.31778455693769,0.0215259130173158,1.93211734621641,-1.08786754459174,0.98366169340975,2.15372266106141,3.50866185795995,6.46452240770919,8056.45224304863,1.00001963613292
"r_ID__Hmax[ID_109,Intercept]",3.07583778048116,0.0224660865470236,2.24660865470236,-1.16773098691451,1.56128632438821,3.03206994845195,4.54845178784291,7.66263830466515,10000,0.999865263209615
"r_ID__Hmax[ID_111,Intercept]",5.10525526900228,0.017197534132372,1.7197534132372,1.80716325799969,3.93349574365879,5.06187638341164,6.24329270736118,8.48184999019701,10000,1.00074091625744
"r_ID__Hmax[ID_112,Intercept]",1.86976749331031,0.0241812967840936,2.41812967840936,-2.50289617168394,0.171455731858972,1.75607302539104,3.46838642408386,6.90556383372979,10000,1.00023587866606
"r_ID__Hmax[ID_113,Intercept]",-0.626269995416867,0.0264083256676272,2.64083256676272,-5.58963128627043,-2.42674120070914,-0.688638557145258,1.07650183827948,4.82699642811481,10000,0.999864966917639
"r_ID__Hmax[ID_114,Intercept]",1.42314071278296,0.0234222843545746,2.34222843545746,-2.9626639828141,-0.176355751342281,1.36849188647507,2.97034895729653,6.1696632944394,10000,0.999985268109029
"r_ID__Hmax[ID_116,Intercept]",1.72710362385177,0.0185579081469432,1.85579081469432,-1.7714532532321,0.454123094057106,1.66666323100352,2.91385142038806,5.49183887681084,10000,1.00014723144801
"r_ID__Hmax[ID_117,Intercept]",-0.162289652257452,0.0240833410278296,2.2224151502506,-4.08340444632846,-1.67498270638725,-0.337396268279498,1.18430855773487,4.70893269598492,8515.63242703088,1.00011205294929
"r_ID__Hmax[ID_118,Intercept]",-0.109413686662468,0.0175676409581702,1.75676409581702,-3.36495393839587,-1.2929967687889,-0.192758790037971,0.972851893720718,3.54625184158949,10000,0.999940855884623
"r_ID__Hmax[ID_119,Intercept]",-1.16401067523004,0.141442610500436,4.01132211619229,-7.15936927702209,-4.75511332598615,-1.57421333796301,2.23876334455711,6.28078153841005,804.293482750635,1.00799967357133
"r_ID__Hmax[ID_12,Intercept]",0.413127685588186,0.0194864255260231,1.94864255260231,-3.18447808804164,-0.898258572853776,0.362974319531641,1.6181753727583,4.47900881359128,10000,0.999903288732949
"r_ID__Hmax[ID_120,Intercept]",1.13591212634707,0.02437722792726,2.437722792726,-3.39917895878676,-0.529240680996145,1.06114306871669,2.71376679658919,5.99340337876306,10000,1.00022464650334
"r_ID__Hmax[ID_121,Intercept]",-1.29218313563377,0.0196961903737991,1.96961903737991,-4.80443182789076,-2.63168991221598,-1.41717349766012,-0.0958670255827356,3.07141861098615,10000,1.00015106471256
"r_ID__Hmax[ID_122,Intercept]",-0.186219293401646,0.0288755316419599,2.4310523750336,-4.33007361962554,-1.87357288344924,-0.449783055529765,1.28796914213768,5.28309961163512,7088.08069127215,1.00028234996355
"r_ID__Hmax[ID_123,Intercept]",-0.751478192962184,0.0198682698392986,1.98682698392986,-4.34946423502762,-2.09475158190886,-0.83163271955796,0.44670773373863,3.48859534918746,10000,1.00000140164689
"r_ID__Hmax[ID_124,Intercept]",0.79582500362152,0.0196999029127542,1.96999029127542,-2.83423517067102,-0.532268540850077,0.705446487850588,2.0334849022984,4.88180608996539,10000,1.00012229373681
"r_ID__Hmax[ID_125,Intercept]",-1.5651257705996,0.0302360535850133,2.35186684978256,-5.45982932955635,-3.17602355041062,-1.84909962585287,-0.282270549788602,3.89059121052022,6050.27686356244,1.00048055849224
"r_ID__Hmax[ID_126,Intercept]",-1.11321635779725,0.0200775639002542,2.00775639002542,-4.71174296779857,-2.4512394799715,-1.22107822105151,0.100242846861479,3.32945739476127,10000,0.999838264607916
"r_ID__Hmax[ID_127,Intercept]",-1.4905829078169,0.0256958391108895,2.56958391108895,-6.15046173663586,-3.27421905980192,-1.624306021658,0.128598554601048,4.00832492700701,10000,0.999931755909315
"r_ID__Hmax[ID_128,Intercept]",-1.6489396201175,0.0380627623825247,2.92714162742018,-6.59541469491836,-3.82492337429735,-1.90520241570968,0.33445282577442,4.49410500276094,5914.07549800736,1.00042516003345
