"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",21.9817626087856,0.00722585603470114,0.469951807174907,21.100161905568,21.6578656167353,21.9644704448356,22.2881136900326,22.943107543778,4229.87992223456,1.00110764800494
"b_k_Intercept",-7.54365791269915,0.0109813413246115,0.664044884011671,-8.86421804335705,-7.98662234907206,-7.53889254608661,-7.084620213912,-6.27554511746856,3656.65585730271,1.00041515883171
"b_I_Intercept",149.506110815449,0.0491693706133137,2.09638028188796,145.398319899571,148.09121197326,149.505155878279,150.897884460472,153.679718118996,1817.81981854758,1.00352383868875
"b_Hmin_Intercept",5.78915945039874,0.0019900519845926,0.19900519845926,5.40412984861718,5.65258786820081,5.7891714764579,5.92528493603525,6.17879520714263,10000,1.00093840900916
"sd_ID__Hmax_Intercept",2.8774608252742,0.00632400071176171,0.352990701749738,2.21173177333008,2.63930818870449,2.86653961596617,3.10933425836049,3.60219951705117,3115.60728748833,1.00084287540144
"sd_ID__k_Intercept",3.73907295154021,0.00773013203749291,0.493578476524251,2.84124437455154,3.39627792782966,3.71425297881044,4.05419070677846,4.80445140190978,4076.98019809433,1.00167660009044
"sd_ID__I_Intercept",23.5932504415251,0.0295340766365808,1.61290656616274,20.6087143234103,22.4779295073134,23.5082210511757,24.6270070257364,26.9634011009382,2982.43937862012,1.00046174428041
"sigma",2.53231757324359,0.00232364570411357,0.11245106250655,2.32469861819294,2.45523527896588,2.52775656174787,2.60528570539204,2.76371304112913,2342.00224136005,1.00055959988315
"r_ID__Hmax[Da_Ae,Intercept]",2.84408847441031,0.0201496456852171,2.01496456852171,-0.613214093529746,1.45960623755292,2.67845204283892,4.02874004942235,7.40903072257986,10000,0.999856175832063
"r_ID__Hmax[Da_Ol1,Intercept]",-0.54444633030744,0.0307380397298977,3.07380397298977,-6.76198317886479,-2.49944796130397,-0.495491288190604,1.53731833435021,5.34157188670166,10000,1.00014270735677
"r_ID__Hmax[F1,Intercept]",-1.46477939834191,0.129490994714822,1.83453339471399,-4.25773777433777,-2.5764347230499,-1.66196902329089,-0.673998878695339,2.96206318404255,200.711432038179,1.0184027552561
"r_ID__Hmax[ID_1,Intercept]",2.58096697705962,0.0234592600220182,2.34592600220182,-1.78415180139945,0.992917279803426,2.49646105191614,4.13280838733778,7.40939353713222,10000,0.999986642985275
"r_ID__Hmax[ID_10,Intercept]",-2.01554294946276,0.0235795269850619,2.35795269850619,-6.18962611701928,-3.66265611828787,-2.14825319123661,-0.540826514971962,3.07968277341009,10000,1.00015443476188
"r_ID__Hmax[ID_100,Intercept]",-0.295229623971147,0.025268035234851,2.5268035234851,-5.12957242983335,-1.97809209945979,-0.371022615093594,1.36636473943893,4.8506361538746,10000,0.99969103622148
"r_ID__Hmax[ID_101,Intercept]",0.457452358410926,0.0226171534556936,2.26171534556936,-3.77371051097261,-1.08013033230848,0.342224735439115,1.95420480154116,5.14187300268525,10000,0.999804512567936
"r_ID__Hmax[ID_102,Intercept]",-1.07284529445387,0.02912663167335,2.912663167335,-6.64716233835512,-2.98898719940931,-1.1214975246393,0.837911435238532,4.83462192464013,10000,0.999886553184558
"r_ID__Hmax[ID_103,Intercept]",1.16737709902953,0.0245299878066207,2.45299878066207,-3.51991719110343,-0.490752072071774,1.13934677928236,2.77907369520749,6.13070954221663,10000,0.999740109015894
"r_ID__Hmax[ID_104,Intercept]",-0.464866503188888,0.0292219238483393,2.92219238483393,-6.00180316783372,-2.49926577999286,-0.481530314644862,1.54838540269287,5.17290826558593,10000,0.999863180198037
"r_ID__Hmax[ID_105,Intercept]",0.825289429164654,0.0187605892666942,1.87605892666942,-2.70810479042343,-0.446299209444314,0.771174305273022,2.04755589723628,4.61055142864564,10000,0.999683048517427
"r_ID__Hmax[ID_106,Intercept]",6.92156537967442,0.0176380383697966,1.76380383697966,3.54913145553142,5.71550576731397,6.88970243743472,8.10047924845322,10.4598830695011,10000,0.99994861591235
"r_ID__Hmax[ID_107,Intercept]",2.19616724061892,0.0193206902066078,1.93206902066078,-1.18094835082525,0.854737632576933,2.0491859324905,3.38980306962378,6.30459496816172,10000,1.00014434762223
"r_ID__Hmax[ID_109,Intercept]",2.81592041179878,0.022775284185521,2.2775284185521,-1.49853922161014,1.24392334054764,2.79591878245933,4.32946597719599,7.41168306815548,10000,0.999863984479783
"r_ID__Hmax[ID_111,Intercept]",4.8490211682639,0.0177585201084278,1.77585201084278,1.47439337867769,3.63803827289465,4.81978566890523,6.03613453097896,8.40027953015688,10000,0.99998316586067
"r_ID__Hmax[ID_112,Intercept]",1.77228295311338,0.0232866554002965,2.32866554002965,-2.57189600589956,0.148596032062037,1.69681007065784,3.27234821602974,6.60031154889521,10000,0.999868404311153
"r_ID__Hmax[ID_113,Intercept]",-0.682871033782704,0.0260123315998531,2.60123315998531,-5.64832704758113,-2.44060817164225,-0.749352077382086,1.00436715005977,4.53632299884691,10000,0.999914180890336
"r_ID__Hmax[ID_114,Intercept]",1.28195486160448,0.0229027929308865,2.29027929308865,-3.09962467928845,-0.262101865761307,1.24581854259373,2.76940226225501,5.99133863380557,10000,0.999810967582883
"r_ID__Hmax[ID_116,Intercept]",1.61678968560108,0.0181392009813881,1.81392009813881,-1.83966210347278,0.385375979719619,1.59048964428233,2.77755359907604,5.35709076410353,10000,1.00000769555191
"r_ID__Hmax[ID_117,Intercept]",-0.22176275060489,0.0210992007719486,2.10992007719486,-3.99144605013164,-1.67360444654069,-0.3792136436365,1.09542154255532,4.27307830442501,10000,0.999776814321796
"r_ID__Hmax[ID_118,Intercept]",-0.122910026429326,0.0174124157177171,1.74124157177171,-3.28627801593597,-1.32517108592655,-0.195006069428725,0.977425946977293,3.4807188099814,10000,0.999922576044868
"r_ID__Hmax[ID_119,Intercept]",-0.684974698101375,0.0910345396008844,3.86141689229916,-6.91924018029161,-4.22142387185121,-0.398493817161997,2.4305024749802,6.27745875672949,1799.2063863397,1.00211549806198
"r_ID__Hmax[ID_12,Intercept]",0.330514910324906,0.0190562741514833,1.90562741514833,-3.23978316680203,-0.956562851857508,0.283934534573359,1.54117883612604,4.28240539745823,10000,0.999828525123927
"r_ID__Hmax[ID_120,Intercept]",1.03162006092623,0.0246059583536534,2.46059583536534,-3.59454294064936,-0.626634273132715,0.971803945247282,2.61243285615414,6.01688929005388,10000,0.999891887071167
"r_ID__Hmax[ID_121,Intercept]",-1.23749373276839,0.0194487380903414,1.94487380903414,-4.75362099624457,-2.54817014883657,-1.35817540089014,-0.0630232674473598,2.89877650942021,10000,0.999951678879817
"r_ID__Hmax[ID_122,Intercept]",-0.15943472165864,0.0238915674281809,2.38915674281809,-4.34677090123129,-1.84472603028672,-0.354706174287217,1.29736388485445,5.02868419020152,10000,0.999998963123778
"r_ID__Hmax[ID_123,Intercept]",-0.72842433610026,0.0209143712296102,2.09143712296102,-4.55861270704053,-2.14423092831489,-0.841148882868625,0.580552779437132,3.60780102294952,10000,1.00017357028519
"r_ID__Hmax[ID_124,Intercept]",0.685121400870905,0.0194589421629768,1.94589421629768,-2.85020283758346,-0.650631279653416,0.605014156226139,1.90205887021492,4.78947362047786,10000,1.000203715112
"r_ID__Hmax[ID_125,Intercept]",-1.46391644622376,0.0230941875825853,2.30941875825853,-5.27503107840905,-3.08448947194768,-1.72337504735915,-0.147149817255231,3.88678789478594,10000,0.99985968090002
"r_ID__Hmax[ID_126,Intercept]",-1.04750047562429,0.020337177129391,2.0337177129391,-4.72274367346151,-2.42629752178985,-1.18216361110584,0.219995891383831,3.35556095607223,10000,0.999818454224626
"r_ID__Hmax[ID_127,Intercept]",-1.46681560002118,0.0250520140964761,2.50520140964761,-6.05134842207333,-3.20216447983324,-1.57644753647458,0.140881383698244,3.79104868968822,10000,0.999758009946799
"r_ID__Hmax[ID_128,Intercept]",-1.5428560616156,0.0281094948136876,2.81094948136876,-6.43522789445124,-3.59217007078054,-1.75607573128095,0.310835752824059,4.39987766180992,10000,0.99974171741922
"r_ID__Hmax[ID_129,Intercept]",-0.708333932170547,0.0266650803073085,2.66650803073085,-6.49760278064477,-2.35634702813645,-0.58803706909973,1.08623547783248,4.24731328557179,10000,1.00010807289179
"r_ID__Hmax[ID_13,Intercept]",-1.58931121951138,0.0312369953512479,3.12369953512479,-7.88515011222556,-3.69491181041975,-1.5414849642736,0.508689424243408,4.35528888311194,10000,0.999739950293712
"r_ID__Hmax[ID_130,Intercept]",5.12135578955738,0.0175484882201531,1.75484882201531,1.79984174037615,3.9492355384253,5.09225936855373,6.29705771128709,8.67425289803333,10000,0.999984967076578
"r_ID__Hmax[ID_132,Intercept]",-1.98042421640293,0.0241715944143395,2.41715944143395,-6.34691455967917,-3.64744385424187,-2.1535234254963,-0.472464252201583,3.18171942807049,10000,0.999894533993814
"r_ID__Hmax[ID_133,Intercept]",-0.706230178685984,0.0195736592881091,1.95736592881091,-4.38037774878059,-2.02436762430854,-0.766860432127083,0.539852416482188,3.31629685808952,10000,0.999639000591392
"r_ID__Hmax[ID_134,Intercept]",-2.61189873524419,0.028456346394766,2.8456346394766,-7.81351796544999,-4.62746473985294,-2.74158095577104,-0.71694035560965,3.29958349927385,10000,1.00016075171624
"r_ID__Hmax[ID_135,Intercept]",-0.203327627888572,0.0197980920551359,1.97980920551359,-3.83336226487707,-1.55690388413003,-0.275417510061512,1.07027134807311,3.97502293513739,10000,0.999682417682599
"r_ID__Hmax[ID_136,Intercept]",1.73324514057973,0.0177907397180285,1.77907397180285,-1.66385717801693,0.543349347497267,1.69797627658386,2.85538653155299,5.36281678914426,10000,1.00022324585434
"r_ID__Hmax[ID_137,Intercept]",-0.986773877933079,0.023549589631263,2.3549589631263,-5.13465563118241,-2.62644352797037,-1.16226822620562,0.481936643556644,4.10039739342566,10000,0.999761889928002
"r_ID__Hmax[ID_138,Intercept]",-1.253162909663,0.021173375584045,2.1173375584045,-5.0967883427244,-2.6797937852015,-1.32700838328864,0.0803105675045182,3.17258657411266,10000,0.999761760967664
"r_ID__Hmax[ID_139,Intercept]",-0.772577279169537,0.0234699674368437,2.34699674368437,-5.10677964671711,-2.3708226115491,-0.857116455853464,0.682773199101176,4.16803640355998,10000,0.999829004935672
"r_ID__Hmax[ID_14,Intercept]",-0.159227483172486,0.0267766383441081,2.67766383441081,-5.25528755451172,-1.93470353498029,-0.176556358355983,1.54943221720228,5.28100673839506,10000,1.00011709506985
"r_ID__Hmax[ID_142,Intercept]",-0.0842332461034649,0.0187552623390689,1.87552623390689,-3.63774502959277,-1.35747261352729,-0.125748636659844,1.13038499627225,3.72742639782054,10000,0.999965768312359
"r_ID__Hmax[ID_143,Intercept]",0.106789362167042,0.0236270579333268,2.36270579333268,-4.26942547757517,-1.50633192626903,0.0127899847260607,1.67599273766429,4.93560812427655,10000,0.999774004398732
"r_ID__Hmax[ID_144,Intercept]",1.14703371100733,0.0177869697208088,1.77869697208088,-2.2285170933688,-0.0670362225663093,1.10892148344305,2.32106500911813,4.77157572509483,10000,0.999808733614217
"r_ID__Hmax[ID_147,Intercept]",-2.48523852946649,0.0273345077606001,2.73345077606001,-7.37948003070695,-4.42416566292686,-2.65288052684905,-0.676148709168567,3.19739814964679,10000,0.999673330750294
"r_ID__Hmax[ID_148,Intercept]",1.78618410249163,0.0176785350738566,1.76785350738566,-1.60958405004795,0.595102529032108,1.76710362058607,2.94296112391006,5.32950789059939,10000,0.999889657354043
"r_ID__Hmax[ID_15,Intercept]",-0.900582053564654,0.0391327083327426,3.26681890951926,-6.27523868805187,-3.49671313039696,-1.12473270304148,1.4636041630698,5.74001952246558,6968.99751340718,1.00017388779288
"r_ID__Hmax[ID_152,Intercept]",-0.731520699475548,0.0233836398528013,2.33836398528013,-5.0359883279837,-2.35201832221233,-0.803985815428032,0.755499445525623,4.11723296124457,10000,0.999756372917417
"r_ID__Hmax[ID_153,Intercept]",-0.136861071604448,0.0192873312198285,1.92873312198285,-3.69664245594922,-1.42659653641304,-0.184911299048969,1.06333244004514,3.79126493722959,10000,0.999710633229611
"r_ID__Hmax[ID_154,Intercept]",-2.15870314816542,0.025411012365482,2.5411012365482,-6.68075863075109,-3.95322300595146,-2.39093680999708,-0.548180040878112,3.356309099837,10000,1.00012820792553
"r_ID__Hmax[ID_155,Intercept]",-0.380700220164225,0.0225658832402697,2.25658832402697,-4.58372704633148,-1.93687104161125,-0.492652613468392,1.11631206133255,4.32159264281369,10000,0.99976749720154
"r_ID__Hmax[ID_156,Intercept]",-2.03355739065109,0.0232746841331394,2.32746841331394,-6.25747709246616,-3.63633188135914,-2.16029229433877,-0.564352450450647,2.85469585682524,10000,1.00008289760306
"r_ID__Hmax[ID_157,Intercept]",-1.68129217840111,0.0212874815230088,2.12874815230088,-5.64253696466212,-3.11482669651246,-1.74736565110508,-0.336883094425414,2.76554094347105,10000,0.999989623611549
"r_ID__Hmax[ID_158,Intercept]",-1.17925449502338,0.0203958304917161,2.03958304917161,-4.97806446065291,-2.54517645177235,-1.25750735808062,0.129600799321183,3.01863824096069,10000,0.999932795812976
"r_ID__Hmax[ID_16,Intercept]",-0.969387657735231,0.0274248283288855,2.54727823738912,-4.88623811016232,-2.7223957895676,-1.39758829989111,0.379212019652891,5.21002740848752,8627.10204440969,0.999673884632571
"r_ID__Hmax[ID_160,Intercept]",-0.817372828005901,0.021579723615172,2.1579723615172,-4.8512775918623,-2.30250300166933,-0.899994895928993,0.561853025384452,3.68253914798194,10000,1.00002279940625
"r_ID__Hmax[ID_161,Intercept]",-1.20952270689316,0.0271915924619868,2.71915924619868,-5.99205553614259,-3.22182243894445,-1.37171611735629,0.571580581072918,4.41925238076129,10000,0.999806517288
"r_ID__Hmax[ID_163,Intercept]",2.20620318862912,0.0177564653010806,1.77564653010806,-1.08841865031083,1.00502586371048,2.15816542508958,3.36262864648233,5.8042603688109,10000,0.999772445398886
"r_ID__Hmax[ID_165,Intercept]",-0.964598162250093,0.0224719909245578,2.24719909245578,-5.05871313092409,-2.50988736134418,-1.10377041609133,0.441145769337514,3.89966012440944,10000,0.999841788072859
"r_ID__Hmax[ID_166,Intercept]",-0.264528651564333,0.0232118886608812,2.32118886608812,-4.69330939898641,-1.8357279173327,-0.327631283172679,1.23516506226974,4.44472436562992,10000,0.999688724274793
"r_ID__Hmax[ID_169,Intercept]",-2.56414907030118,0.026495207039998,2.6495207039998,-7.36354188715448,-4.41704577416695,-2.70831891934793,-0.850239916099504,2.9957851709599,10000,0.999790535367211
"r_ID__Hmax[ID_17,Intercept]",1.56903874422944,0.0230583431757021,2.30583431757021,-2.85235715441716,-0.0182249356295833,1.52330114965108,3.062114528917,6.20878208295832,10000,0.999750583249416
"r_ID__Hmax[ID_170,Intercept]",-1.85025415228893,0.0264420255387658,2.64420255387658,-6.52836630494904,-3.73461937173099,-2.02659411811042,-0.138907886183382,3.72541527255835,10000,1.0007565180503
"r_ID__Hmax[ID_171,Intercept]",0.164540516325909,0.0222690023777356,2.22690023777356,-4.01804306292068,-1.37474035727135,0.0913853524332659,1.59191348186536,4.76504857805722,10000,0.999858318581582
"r_ID__Hmax[ID_172,Intercept]",-0.802962007814272,0.0249244003527085,2.49244003527085,-5.44821092548402,-2.521192807781,-0.849371199679066,0.807311721579043,4.25106024021984,10000,0.999859754850248
"r_ID__Hmax[ID_174,Intercept]",-0.135498593333305,0.0234714514032424,2.34714514032424,-4.51352805971518,-1.74986991710302,-0.207807551002336,1.38906706145412,4.73224205520346,10000,1.00013885138433
"r_ID__Hmax[ID_175,Intercept]",0.729476346116783,0.0239104811785658,2.39104811785658,-3.80227564742127,-0.90214050093468,0.678386099381723,2.27327240471892,5.57095964811601,10000,1.00014066120976
"r_ID__Hmax[ID_176,Intercept]",-1.46553069156913,0.0247586882236716,2.47586882236716,-6.11505523130167,-3.1407014580044,-1.60121370231087,0.148984476023141,3.64170391882545,10000,0.999854463023592
"r_ID__Hmax[ID_177,Intercept]",-1.67903233691876,0.0226010104871413,2.26010104871413,-5.86324954492911,-3.18847282391772,-1.82176051871892,-0.206433173882504,3.09059606936342,10000,1.00020447900798
"r_ID__Hmax[ID_18,Intercept]",0.487195133623292,0.0233566208642759,2.33566208642759,-3.55155804997972,-1.14683160853679,0.300599346378153,1.93201130281988,5.5569316640314,10000,0.999821620730518
"r_ID__Hmax[ID_180,Intercept]",-1.60423186589012,0.0233673521598289,2.33673521598289,-5.7360574568023,-3.23116794240329,-1.75631179697421,-0.153400183978186,3.45185858072831,10000,0.999987712784436
"r_ID__Hmax[ID_181,Intercept]",-2.52007229277376,0.0264572716619058,2.64572716619058,-7.30781734109887,-4.37843540812538,-2.64649451826018,-0.816172692355502,2.98100270091247,10000,0.999780349119812
"r_ID__Hmax[ID_186,Intercept]",-2.09835631825458,0.022465158091397,2.2465158091397,-6.16038541296815,-3.63808030921619,-2.20483787186463,-0.672265664408912,2.67568796296457,10000,1.00005453703457
"r_ID__Hmax[ID_189,Intercept]",-0.968642718516681,0.0302349188573328,3.02349188573328,-6.96611988373876,-2.94272930629327,-0.941455756926787,1.01557209958405,4.980144393638,10000,0.999748393824975
"r_ID__Hmax[ID_19,Intercept]",-0.581236547368226,0.0296768048141664,2.96768048141664,-6.80608530795733,-2.49175185413854,-0.402738340846407,1.47862806508902,4.77283573861629,10000,1.00013417790965
"r_ID__Hmax[ID_191,Intercept]",2.76055179642445,0.0230489362715669,2.30489362715669,-1.62017162503283,1.19494188784804,2.70666078078148,4.26522513401767,7.51240920526163,10000,0.999926737516045
"r_ID__Hmax[ID_192,Intercept]",-0.344245417720493,0.0297817656576606,2.97817656576606,-6.2596098843078,-2.30500324832535,-0.320107726999987,1.61999860535,5.41937434528991,10000,0.999713463849906
"r_ID__Hmax[ID_197,Intercept]",1.77344021824558,0.0177778232605222,1.77778232605222,-1.64114295148267,0.558566513624593,1.73909099174829,2.9399442565303,5.28322454715388,10000,0.999881991122609
"r_ID__Hmax[ID_198,Intercept]",-0.693904032291677,0.019164077090668,1.9164077090668,-4.35907032735266,-2.02270505976223,-0.758262339090452,0.549345393451668,3.1864071658319,10000,0.999679452075969
"r_ID__Hmax[ID_199,Intercept]",-0.346881684398011,0.0240633399251014,2.40633399251014,-4.87226304837467,-1.99282869761151,-0.402785037676137,1.20605599768612,4.55991698896774,10000,1.0001111412589
"r_ID__Hmax[ID_2,Intercept]",-0.511897323351748,0.0256877591301322,2.56877591301322,-5.39708880622978,-2.23467066233764,-0.583007921297374,1.16753691043132,4.74040708815071,10000,0.999814716174896
"r_ID__Hmax[ID_20,Intercept]",-1.26565484594688,0.0179509268961403,1.79509268961403,-4.4077515147685,-2.47247785691586,-1.38637623808507,-0.248455955117154,2.77319605405747,10000,1.00001489098272
"r_ID__Hmax[ID_201,Intercept]",-1.2119704267966,0.0208547527084076,2.08547527084076,-4.97764459354269,-2.66258484879409,-1.2956723922639,0.114906297035675,3.1801738686806,10000,0.999946873079194
"r_ID__Hmax[ID_202,Intercept]",-0.418036669319636,0.0306842536638636,3.06842536638636,-6.59656440505902,-2.40529258902382,-0.357707416833274,1.60941472064719,5.52363771801522,10000,0.999684657432689
"r_ID__Hmax[ID_207,Intercept]",-1.58802387498964,0.0239163534570929,2.39163534570929,-5.84872904128836,-3.24039481635858,-1.74635948506858,-0.10556828586195,3.62656038945787,10000,0.999912906080143
"r_ID__Hmax[ID_208,Intercept]",4.348012683005,0.0173029469333597,1.73029469333597,1.07001439955373,3.15325542357512,4.31867182244593,5.49710972544822,7.85516176734942,10000,0.999921671712756
"r_ID__Hmax[ID_21,Intercept]",1.3312080511145,0.0239717447753617,2.39717447753617,-3.20817535172879,-0.273822113367488,1.3046035639035,2.87324543350943,6.19960664994101,10000,0.999943507014063
"r_ID__Hmax[ID_212,Intercept]",-0.420472613875302,0.0274740983973761,2.7474098397376,-5.65632835008214,-2.30745583650858,-0.465684473544274,1.41080721478708,5.20782792703942,10000,0.999795627652047
"r_ID__Hmax[ID_214,Intercept]",-1.6735192094179,0.0213353002753366,2.13353002753366,-5.56647327010602,-3.15506997602358,-1.77384722329915,-0.312656285521132,2.84248957352443,10000,0.999784937979426
"r_ID__Hmax[ID_217,Intercept]",2.28597846269244,0.0176976071701163,1.76976071701163,-1.09939441616138,1.07597220195739,2.2422979921753,3.45255081177159,5.89524473614406,10000,0.999791569034581
"r_ID__Hmax[ID_223,Intercept]",0.469591810138222,0.018544463131644,1.8544463131644,-2.95761119102777,-0.774284784701645,0.405492848576675,1.67434800637469,4.1841739145948,10000,0.999865659127248
"r_ID__Hmax[ID_224,Intercept]",-1.21575176466301,0.0210904770574959,2.10904770574959,-5.02912267833425,-2.65025836280307,-1.32508233494881,0.0976626356510659,3.24732579676374,10000,1.0000769307222
"r_ID__Hmax[ID_227,Intercept]",-0.665173591999848,0.0198106103704729,1.98106103704729,-4.30294324034498,-2.01454118191914,-0.739960008038796,0.603786453945928,3.447451331227,10000,0.999841451304215
"r_ID__Hmax[ID_23,Intercept]",-0.341740591438399,0.0217766528193349,2.17766528193349,-4.13839871355072,-1.85262945828581,-0.512682719665452,0.972574860960046,4.44388106740994,10000,0.999813059556174
"r_ID__Hmax[ID_231,Intercept]",-0.783277362829937,0.0262378212707213,2.62378212707213,-5.83230435129047,-2.54310450385379,-0.836484717546821,0.928548656976556,4.50676101807921,10000,0.999740095911955
"r_ID__Hmax[ID_234,Intercept]",0.412596540553984,0.0188854728666515,1.88854728666515,-3.12527646361194,-0.861195497318674,0.348128604367176,1.62059871310929,4.35859537104624,10000,0.999951426741245
