"ID","date","days","leaf_number","leaf_number_raw"
"ID_1",2015-12-28,111,24,24
"ID_1",2016-01-21,135,3,3
"ID_1",2016-02-18,163,2,7
"ID_1",2016-03-21,195,6,6
"ID_10",2015-12-28,111,16,14
"ID_10",2016-01-21,135,16,16
"ID_10",2016-02-18,163,6,6
"ID_10",2016-03-21,195,10,8
"ID_100",2015-12-28,111,20,20
"ID_100",2016-01-21,135,12,12
"ID_100",2016-02-18,163,10,10
"ID_100",2016-03-21,195,9,9
"ID_101",2015-12-28,111,22,22
"ID_101",2016-01-21,135,14,14
"ID_101",2016-02-18,163,8,8
"ID_101",2016-03-21,195,8,8
"ID_102",2015-12-28,111,14,14
"ID_102",2016-01-21,135,7,7
"ID_102",2016-02-18,163,6,6
"ID_102",2016-03-21,195,4,4
"ID_103",2015-12-28,111,23,23
"ID_103",2016-01-21,135,10,10
"ID_103",2016-02-18,163,8,13
"ID_103",2016-03-21,195,12,12
"ID_104",2015-12-28,111,18,18
"ID_104",2016-01-21,135,13,13
"ID_104",2016-02-18,163,5,14
"ID_104",2016-03-21,195,11,11
"ID_105",2015-12-28,111,22,22
"ID_105",2016-01-21,135,21,21
"ID_105",2016-02-18,163,8,8
"ID_105",2016-03-21,195,5,10
"ID_106",2015-12-28,111,21,26
"ID_106",2016-01-21,135,31,31
"ID_106",2016-02-18,163,11,11
"ID_106",2016-03-21,195,8,8
"ID_107",2015-12-28,111,20,22
"ID_107",2016-01-21,135,25,25
"ID_107",2016-02-18,163,18,18
"ID_107",2016-03-21,195,14,14
"ID_109",2015-12-28,111,26,26
"ID_109",2016-01-21,135,11,11
"ID_109",2016-02-18,163,6,6
"ID_109",2016-03-21,195,5,5
"ID_111",2015-12-28,111,22,23
"ID_111",2016-01-21,135,28,28
"ID_111",2016-02-18,163,11,11
"ID_111",2016-03-21,195,14,13
"ID_112",2015-12-28,111,26,26
"ID_112",2016-01-21,135,15,15
"ID_112",2016-02-18,163,13,16
"ID_112",2016-03-21,195,9,9
"ID_113",2015-12-28,111,18,18
"ID_113",2016-01-21,135,10,10
"ID_113",2016-02-18,163,7,13
"ID_113",2016-03-21,195,5,5
"ID_114",2015-12-28,111,23,23
"ID_114",2016-01-21,135,11,11
"ID_114",2016-02-18,163,7,7
"ID_114",2016-03-21,195,3,3
"ID_116",2015-12-28,111,17,22
"ID_116",2016-01-21,135,23,23
"ID_116",2016-02-18,163,9,9
"ID_116",2016-03-21,195,7,7
"ID_117",2015-12-28,111,19,19
"ID_117",2016-01-21,135,20,20
"ID_117",2016-02-18,163,12,12
"ID_117",2016-03-21,195,10,10
"ID_118",2015-12-28,111,17,20
"ID_118",2016-01-21,135,21,21
"ID_118",2016-02-18,163,17,17
"ID_118",2016-03-21,195,7,7
"ID_119",2015-12-28,111,13,13
"ID_119",2016-01-21,135,14,14
"ID_119",2016-02-18,163,19,19
"ID_119",2016-03-21,195,12,12
"ID_12",2015-12-28,111,20,20
"ID_12",2016-01-21,135,21,21
"ID_12",2016-02-18,163,10,10
"ID_12",2016-03-21,195,8,8
"ID_120",2015-12-28,111,21,21
"ID_120",2016-01-21,135,7,7
"ID_120",2016-02-18,163,4,4
"ID_120",2016-03-21,195,5,8
"ID_121",2015-12-28,111,19,19
"ID_121",2016-01-21,135,19,19
