"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",12.7069220045265,0.0122717702215077,0.240995710710676,12.214259977922,12.5515156493402,12.7010522203683,12.8683556601475,13.1750729181532,385.659644157424,1.01434576144105
"b_k_Intercept",1.55723079715323,0.00475384972848688,0.117927226315425,1.34102289932337,1.47479620971655,1.54901132863427,1.63383189944854,1.7991611748461,615.371344785897,1.00528197767413
"b_I_Intercept",137.274136387293,0.0756733250339852,1.38269326662354,134.531717905787,136.372142553462,137.270648228837,138.241736270657,140.015857419743,333.86128599968,1.01100746022031
"b_Hmin_Intercept",0.0662873911062561,0.000506155185575352,0.0506155185575352,-0.0352686882720227,0.0334000829792199,0.0685089744530265,0.0990491814338504,0.165323281743285,10000,0.999936696353036
"sd_ID__Hmax_Intercept",2.90326243627533,0.0166563938227933,0.19401607856381,2.55662647357868,2.76655037800831,2.89375170354728,3.03203412204271,3.28811029453257,135.679265351496,1.03719060355252
"sd_ID__k_Intercept",0.94574701279414,0.00503175724994133,0.104524614739648,0.761239754775797,0.870953247601096,0.938340710595965,1.0143377665111,1.15328187636584,431.516879908595,1.01068483928218
"sd_ID__I_Intercept",17.8071793257483,0.0429220268353895,1.07212804600552,15.8751472860754,17.0766647909037,17.7108127328629,18.4799277359116,20.1142497372026,623.925693514566,1.00651698942541
"sigma",0.664809896666038,0.00143271569555011,0.0302076490909092,0.61259693776632,0.643490352841657,0.663830808354718,0.684985991761151,0.726080363913034,444.543042936973,1.01148096015182
"r_ID__Hmax[ID_1,Intercept]",8.21041504046773,0.0132119971909483,0.54607849783623,7.16660299297214,7.83733863467336,8.21216628061091,8.57271588486144,9.31182687637698,1708.33566267426,1.00264358426058
"r_ID__Hmax[ID_10,Intercept]",2.41762114282835,0.0124011564883082,0.553352227247835,1.34172972772859,2.05938735964367,2.41150000757073,2.78102298659163,3.50968539930991,1991.03524996294,1.00160307946523
"r_ID__Hmax[ID_100,Intercept]",-3.47816958661131,0.0127603752746118,0.477421714177562,-4.39535958561135,-3.79895190149573,-3.4960947156232,-3.16731769692302,-2.5002695611227,1399.83691395554,1.00392007831533
"r_ID__Hmax[ID_101,Intercept]",-1.68665050882506,0.0294638585653362,0.522593358798141,-2.80787418237585,-2.0295545416607,-1.67423867997109,-1.32889176208306,-0.688876436854331,314.592620082556,1.00723271537703
"r_ID__Hmax[ID_102,Intercept]",-1.45023408906311,0.0989780887948009,1.96829464363337,-5.35949756269079,-2.71219438968501,-1.37629101468125,-0.117961295325898,2.25568518791994,395.459573867744,1.00786399127487
"r_ID__Hmax[ID_103,Intercept]",-1.45337982173977,0.0137625051162256,0.568318459804613,-2.53265916803872,-1.84700668275172,-1.46536393092296,-1.09171776740328,-0.297164870132904,1705.25188671682,1.00402052708937
"r_ID__Hmax[ID_104,Intercept]",0.4467728934005,0.015584149076308,0.471898694268053,-0.446732499683686,0.128400575473545,0.433813997105392,0.756837571017842,1.42167694898354,916.919826148364,1.00658092839712
"r_ID__Hmax[ID_105,Intercept]",0.346719315983593,0.0289152973484415,0.55790090716366,-0.715730702725406,-0.0179774642459984,0.321572512088022,0.708401772896315,1.57662361971357,372.270660453976,1.01209791809904
"r_ID__Hmax[ID_106,Intercept]",-0.504794752410707,0.0290239512171713,0.586883756326242,-1.68537999708047,-0.879478074494273,-0.506073506107434,-0.136562792416505,0.690707203340985,408.87551847334,1.00568245871988
"r_ID__Hmax[ID_107,Intercept]",1.5376292493101,0.0153813855780304,0.908855395385506,-0.0322346665909064,0.964672542628874,1.43433606825373,2.02804981111401,3.64905136145092,3491.39239207204,1.00095404090059
"r_ID__Hmax[ID_109,Intercept]",-1.75849670297143,0.0164257561137736,0.636072826465644,-2.92634140472959,-2.19221087106149,-1.79776955690338,-1.34091393521244,-0.434885611871961,1499.55688334094,1.00474396756886
"r_ID__Hmax[ID_111,Intercept]",-2.4284757095959,0.0256806857923871,0.587605929163061,-3.52199376041328,-2.84080772777922,-2.44081239048202,-2.03434359435578,-1.20181624339557,523.551133571575,1.00409497722082
"r_ID__Hmax[ID_112,Intercept]",-0.834714422361542,0.0180230217152729,0.707900320930202,-2.16824965634525,-1.3409484471704,-0.841638079553765,-0.359168012194645,0.577218450084773,1542.72673754271,1.00337517656459
