"ID","date","days","lobe_n","lobe_n_raw"
"ID_1",2015-12-28,111,0,0
"ID_1",2016-01-21,135,5,5
"ID_1",2016-02-18,163,21,21
"ID_1",2016-03-21,195,21,19
"ID_10",2015-12-28,111,0,0
"ID_10",2016-01-21,135,1,1
"ID_10",2016-02-18,163,15,15
"ID_10",2016-03-21,195,15,11
"ID_100",2015-12-28,111,0,0
"ID_100",2016-01-21,135,9,9
"ID_100",2016-02-18,163,9,9
"ID_100",2016-03-21,195,9,9
"ID_101",2015-12-28,111,0,0
"ID_101",2016-01-21,135,10,10
"ID_101",2016-02-18,163,11,11
"ID_101",2016-03-21,195,11,7
"ID_102",2015-12-28,111,3,3
"ID_102",2016-01-21,135,4,0
"ID_102",2016-02-18,163,5,5
"ID_102",2016-03-21,195,7,7
"ID_103",2015-12-28,111,0,0
"ID_103",2016-01-21,135,0,0
"ID_103",2016-02-18,163,11,11
"ID_103",2016-03-21,195,11,9
"ID_104",2015-12-28,111,0,0
"ID_104",2016-01-21,135,13,13
"ID_104",2016-02-18,163,13,8
"ID_104",2016-03-21,195,13,9
"ID_105",2015-12-28,111,0,0
"ID_105",2016-01-21,135,9,9
"ID_105",2016-02-18,163,13,13
"ID_105",2016-03-21,195,13,9
"ID_106",2015-12-28,111,0,0
"ID_106",2016-01-21,135,0,0
"ID_106",2016-02-18,163,12,12
"ID_106",2016-03-21,195,12,7
"ID_107",2015-12-28,111,0,0
"ID_107",2016-01-21,135,0,0
"ID_107",2016-02-18,163,7,7
"ID_107",2016-03-21,195,14,14
"ID_109",2015-12-28,111,0,0
"ID_109",2016-01-21,135,0,0
"ID_109",2016-02-18,163,10,10
"ID_109",2016-03-21,195,11,11
"ID_111",2015-12-28,111,0,0
"ID_111",2016-01-21,135,0,0
"ID_111",2016-02-18,163,10,10
"ID_111",2016-03-21,195,10,10
"ID_112",2015-12-28,111,0,0
"ID_112",2016-01-21,135,0,0
"ID_112",2016-02-18,163,10,10
"ID_112",2016-03-21,195,12,12
"ID_113",2015-12-28,111,0,0
"ID_113",2016-01-21,135,8,8
"ID_113",2016-02-18,163,8,7
"ID_113",2016-03-21,195,9,9
"ID_114",2015-12-28,111,1,1
"ID_114",2016-01-21,135,8,8
"ID_114",2016-02-18,163,10,10
"ID_114",2016-03-21,195,14,14
"ID_116",2015-12-28,111,0,0
"ID_116",2016-01-21,135,0,0
"ID_116",2016-02-18,163,12,12
"ID_116",2016-03-21,195,12,9
"ID_117",2015-12-28,111,0,0
"ID_117",2016-01-21,135,0,0
"ID_117",2016-02-18,163,9,9
"ID_117",2016-03-21,195,9,9
"ID_118",2015-12-28,111,0,0
"ID_118",2016-01-21,135,0,0
"ID_118",2016-02-18,163,13,13
"ID_118",2016-03-21,195,14,14
"ID_119",2015-12-28,111,0,0
"ID_119",2016-01-21,135,0,0
"ID_119",2016-02-18,163,0,0
"ID_119",2016-03-21,195,9,9
"ID_12",2015-12-28,111,0,0
"ID_12",2016-01-21,135,4,4
"ID_12",2016-02-18,163,17,17
"ID_12",2016-03-21,195,17,13
"ID_120",2015-12-28,111,0,0
"ID_120",2016-01-21,135,0,0
"ID_120",2016-02-18,163,13,13
"ID_120",2016-03-21,195,13,13
"ID_121",2015-12-28,111,0,0
"ID_121",2016-01-21,135,15,15
"ID_121",2016-02-18,163,15,13
"ID_121",2016-03-21,195,15,12
"ID_122",2015-12-28,111,0,0
"ID_122",2016-01-21,135,0,0
"ID_122",2016-02-18,163,7,7
"ID_122",2016-03-21,195,9,9
"ID_123",2015-12-28,111,0,0
"ID_123",2016-01-21,135,0,0
"ID_123",2016-02-18,163,9,9
"ID_123",2016-03-21,195,9,7
"ID_124",2015-12-28,111,0,0
"ID_124",2016-01-21,135,0,0
"ID_124",2016-02-18,163,10,10
"ID_124",2016-03-21,195,11,11
"ID_125",2015-12-28,111,0,0
"ID_125",2016-01-21,135,0,0
"ID_125",2016-02-18,163,9,9
"ID_125",2016-03-21,195,10,10
"ID_126",2015-12-28,111,0,0
"ID_126",2016-01-21,135,0,0
"ID_126",2016-02-18,163,5,5
"ID_126",2016-03-21,195,14,14
"ID_127",2015-12-28,111,0,0
"ID_127",2016-01-21,135,10,10
"ID_127",2016-02-18,163,12,12
"ID_127",2016-03-21,195,12,11
"ID_128",2015-12-28,111,2,2
"ID_128",2016-01-21,135,6,0
"ID_128",2016-02-18,163,10,10
"ID_128",2016-03-21,195,11,11
"ID_129",2015-12-28,111,2,2
"ID_129",2016-01-21,135,2,0
"ID_129",2016-02-18,163,2,2
"ID_129",2016-03-21,195,8,8
"ID_13",2015-12-28,111,5,5
"ID_13",2016-01-21,135,6,4
"ID_13",2016-02-18,163,8,8
"ID_13",2016-03-21,195,10,10
"ID_130",2015-12-28,111,3,3
"ID_130",2016-01-21,135,10,10
"ID_130",2016-02-18,163,11,11
"ID_130",2016-03-21,195,12,12
"ID_132",2015-12-28,111,0,0
"ID_132",2016-01-21,135,0,0
"ID_132",2016-02-18,163,6,6
"ID_132",2016-03-21,195,13,13
"ID_133",2015-12-28,111,0,0
"ID_133",2016-01-21,135,0,0
"ID_133",2016-02-18,163,9,9
"ID_133",2016-03-21,195,14,14
"ID_134",2015-12-28,111,2,2
"ID_134",2016-01-21,135,6,6
"ID_134",2016-02-18,163,7,3
"ID_134",2016-03-21,195,9,9
"ID_135",2015-12-28,111,0,0
"ID_135",2016-01-21,135,0,0
"ID_135",2016-02-18,163,7,7
"ID_135",2016-03-21,195,13,13
"ID_136",2015-12-28,111,0,0
"ID_136",2016-01-21,135,3,3
"ID_136",2016-02-18,163,8,8
"ID_136",2016-03-21,195,12,12
"ID_137",2015-12-28,111,0,0
"ID_137",2016-01-21,135,0,0
"ID_137",2016-02-18,163,3,3
"ID_137",2016-03-21,195,12,12
"ID_138",2015-12-28,111,3,3
"ID_138",2016-01-21,135,13,13
"ID_138",2016-02-18,163,14,14
"ID_138",2016-03-21,195,17,17
"ID_139",2015-12-28,111,0,0
"ID_139",2016-01-21,135,4,4
"ID_139",2016-02-18,163,6,6
"ID_139",2016-03-21,195,10,10
"ID_14",2015-12-28,111,1,1
"ID_14",2016-01-21,135,9,9
"ID_14",2016-02-18,163,14,14
"ID_14",2016-03-21,195,14,8
"ID_142",2015-12-28,111,0,0
"ID_142",2016-01-21,135,0,0
"ID_142",2016-02-18,163,6,6
"ID_142",2016-03-21,195,12,12
"ID_143",2015-12-28,111,0,0
"ID_143",2016-01-21,135,7,7
"ID_143",2016-02-18,163,10,10
"ID_143",2016-03-21,195,11,11
"ID_144",2015-12-28,111,9,9
"ID_144",2016-01-21,135,11,11
"ID_144",2016-02-18,163,11,10
"ID_144",2016-03-21,195,11,9
"ID_147",2015-12-28,111,4,4
"ID_147",2016-01-21,135,10,10
"ID_147",2016-02-18,163,12,9
"ID_147",2016-03-21,195,15,15
"ID_148",2015-12-28,111,6,6
"ID_148",2016-01-21,135,9,9
"ID_148",2016-02-18,163,11,8
"ID_148",2016-03-21,195,13,13
"ID_15",2015-12-28,111,0,0
"ID_15",2016-01-21,135,0,0
"ID_15",2016-02-18,163,5,5
"ID_15",2016-03-21,195,11,11
"ID_152",2015-12-28,111,0,0
"ID_152",2016-01-21,135,10,10
"ID_152",2016-02-18,163,16,16
"ID_152",2016-03-21,195,17,17
"ID_153",2015-12-28,111,0,0
"ID_153",2016-01-21,135,0,0
"ID_153",2016-02-18,163,8,8
"ID_153",2016-03-21,195,13,13
"ID_154",2015-12-28,111,0,0
"ID_154",2016-01-21,135,0,0
"ID_154",2016-02-18,163,0,0
"ID_154",2016-03-21,195,10,10
"ID_155",2015-12-28,111,0,0
"ID_155",2016-01-21,135,5,5
"ID_155",2016-02-18,163,8,0
"ID_155",2016-03-21,195,12,12
"ID_156",2015-12-28,111,5,5
"ID_156",2016-01-21,135,11,0
"ID_156",2016-02-18,163,18,18
"ID_156",2016-03-21,195,18,15
"ID_157",2015-12-28,111,5,5
"ID_157",2016-01-21,135,4,4
"ID_157",2016-02-18,163,4,4
"ID_157",2016-03-21,195,12,12
"ID_158",2015-12-28,111,1,1
"ID_158",2016-01-21,135,4,4
"ID_158",2016-02-18,163,12,12
"ID_158",2016-03-21,195,13,13
"ID_16",2015-12-28,111,0,0
"ID_16",2016-01-21,135,0,0
"ID_16",2016-02-18,163,12,12
"ID_16",2016-03-21,195,12,10
"ID_160",2015-12-28,111,0,0
"ID_160",2016-01-21,135,12,12
"ID_160",2016-02-18,163,12,11
"ID_160",2016-03-21,195,12,12
"ID_161",2015-12-28,111,0,0
"ID_161",2016-01-21,135,0,0
"ID_161",2016-02-18,163,0,0
"ID_161",2016-03-21,195,7,7
"ID_163",2015-12-28,111,5,5
"ID_163",2016-01-21,135,5,5
"ID_163",2016-02-18,163,10,10
"ID_163",2016-03-21,195,13,13
"ID_165",2015-12-28,111,0,0
"ID_165",2016-01-21,135,0,0
"ID_165",2016-02-18,163,7,7
"ID_165",2016-03-21,195,13,13
"ID_166",2015-12-28,111,0,0
"ID_166",2016-01-21,135,11,11
"ID_166",2016-02-18,163,12,12
"ID_166",2016-03-21,195,16,16
"ID_169",2015-12-28,111,1,1
"ID_169",2016-01-21,135,5,0
"ID_169",2016-02-18,163,10,10
"ID_169",2016-03-21,195,10,10
"ID_17",2015-12-28,111,0,0
"ID_17",2016-01-21,135,10,10
"ID_17",2016-02-18,163,15,15
"ID_17",2016-03-21,195,15,14
"ID_170",2015-12-28,111,0,0
"ID_170",2016-01-21,135,4,4
"ID_170",2016-02-18,163,8,8
"ID_170",2016-03-21,195,12,12
"ID_171",2015-12-28,111,1,1
"ID_171",2016-01-21,135,3,3
"ID_171",2016-02-18,163,14,14
"ID_171",2016-03-21,195,19,19
"ID_172",2015-12-28,111,2,2
"ID_172",2016-01-21,135,9,9
"ID_172",2016-02-18,163,10,8
"ID_172",2016-03-21,195,12,12
"ID_174",2015-12-28,111,0,0
"ID_174",2016-01-21,135,9,9
"ID_174",2016-02-18,163,10,8
"ID_174",2016-03-21,195,12,12
"ID_175",2015-12-28,111,0,0
"ID_175",2016-01-21,135,6,6
"ID_175",2016-02-18,163,9,9
"ID_175",2016-03-21,195,14,14
"ID_176",2015-12-28,111,0,0
"ID_176",2016-01-21,135,6,6
"ID_176",2016-02-18,163,11,11
"ID_176",2016-03-21,195,14,14
"ID_177",2015-12-28,111,0,0
"ID_177",2016-01-21,135,9,9
"ID_177",2016-02-18,163,9,9
"ID_177",2016-03-21,195,16,16
"ID_18",2015-12-28,111,0,0
"ID_18",2016-01-21,135,0,0
"ID_18",2016-02-18,163,13,13
"ID_18",2016-03-21,195,13,12
"ID_180",2015-12-28,111,0,0
"ID_180",2016-01-21,135,0,0
"ID_180",2016-02-18,163,8,8
"ID_180",2016-03-21,195,8,8
"ID_181",2015-12-28,111,0,0
"ID_181",2016-01-21,135,0,0
"ID_181",2016-02-18,163,6,6
"ID_181",2016-03-21,195,9,9
