"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",66.0160318575366,0.0143726528884601,0.755754683282604,64.5359073848198,65.5023226906758,66.0068272476365,66.5306141507879,67.5194226305621,2764.95342397795,1.00139917929081
"b_k_Intercept",0.843821677069436,0.000274094129323186,0.0138030534096069,0.817149646450955,0.834497335948834,0.843518824601863,0.853012401670074,0.871538293985194,2536.00946127244,1.00250652248464
"b_delta_Intercept",5.49383385930301,0.00543179741484025,0.411684220308497,4.7168671880236,5.20496989839067,5.49087095261344,5.77473369991657,6.30673875157523,5744.35556172952,1.00051303048465
"b_Hmin_Intercept",23.5930895917255,0.016221208863183,1.35433200123498,20.824008812296,22.6941658879596,23.6492446227518,24.5384239782933,26.0803738960548,6970.81967525895,0.999904946309988
"sd_ID__Hmax_Intercept",8.13375873326465,0.0127415881699527,0.609249369855556,6.98545575274568,7.72078295239009,8.11805185854884,8.53211517751404,9.36020580283451,2286.3517671867,1.00090279856757
"sd_ID__k_Intercept",0.125361296066156,0.000173702967539402,0.00981464025877488,0.107576577525907,0.118551932851857,0.124846904417841,0.131542160630921,0.146059506059612,3192.52491766564,1.00055251192634
"sd_ID__delta_Intercept",2.50622356598188,0.00777111003190202,0.35044740391422,1.85877277144133,2.26651640036346,2.48944516619311,2.73485694243462,3.22812094914002,2033.66576530092,1.00198720821079
"sigma",3.86301124685522,0.00566863628381728,0.213220373207547,3.46118010679343,3.71794210999337,3.8544569053716,4.00102573199973,4.30246823064226,1414.81681839876,1.0011510885879
"r_ID__Hmax[Da_Ae,Intercept]",14.8852144281459,0.0319929104646659,3.19929104646659,8.82101678068821,12.7108670916306,14.8243903696817,16.9619558056487,21.3002759618773,10000,1.00025802894774
"r_ID__Hmax[Da_Ol1,Intercept]",-13.7547317083716,0.031242362461985,3.1242362461985,-19.134356091035,-15.8191241611886,-13.9962939300513,-11.9859708054962,-7.0794614429155,10000,1.00018269227063
"r_ID__Hmax[F1,Intercept]",17.7844309178982,0.0335298584502702,3.35298584502702,11.5490568136781,15.4886043531476,17.6828902668337,19.9854935989013,24.5052843098973,10000,0.99975924229489
"r_ID__Hmax[ID_1,Intercept]",7.40496121193632,0.0307373451738819,3.07373451738819,1.88531136287455,5.27918189562648,7.24222103238886,9.26936938777028,14.030554742715,10000,0.999984190363688
"r_ID__Hmax[ID_10,Intercept]",-11.6138783248215,0.0505998570349203,3.99651551043574,-17.6966446021193,-14.2645451108868,-12.2521446138264,-9.71710156658338,-1.694509565225,6238.2737118148,0.999733954044134
"r_ID__Hmax[ID_100,Intercept]",0.810187611052366,0.0429825141408379,3.70659627416707,-5.15871633886159,-1.72343565756571,0.338728084303608,2.83755395830164,9.61203269753035,7436.47188346687,0.999833749357957
"r_ID__Hmax[ID_101,Intercept]",7.57717366488671,0.0303813545481894,3.03813545481894,1.9773096305929,5.51617517392754,7.42335673597709,9.46322207281395,13.9808354133408,10000,0.999898658579999
"r_ID__Hmax[ID_102,Intercept]",-4.07568502216476,0.0392851988215525,3.92851988215525,-10.7743688770958,-6.76937056686388,-4.40626985251603,-1.8390797995499,4.95035213232899,10000,0.999984211033378
"r_ID__Hmax[ID_103,Intercept]",-2.14164445209042,0.109065233100059,5.43947675238732,-9.03326891694246,-5.77786285699294,-3.8211300362764,-0.2089389231562,11.4081713839198,2487.37683925565,1.00095562463134
"r_ID__Hmax[ID_104,Intercept]",0.199549955184929,0.0395634024937058,3.08963884958374,-4.80095738207137,-1.80664879235025,-0.0967418066733365,1.73004472894728,7.8589645354081,6098.57214898328,1.00203543788044
"r_ID__Hmax[ID_105,Intercept]",-0.0422725964115931,0.0508152899223497,4.24935864813171,-6.60890657142939,-3.04805725363169,-0.720694672774201,2.3464930768084,10.1272607223767,6992.91032703431,1.00021778987143
"r_ID__Hmax[ID_106,Intercept]",-2.16846786991389,0.0467862455508225,4.19459780205549,-8.84130224229859,-5.10454945477195,-2.76550885506855,0.17631183805864,7.82393968453523,8037.93071285402,1.00009043262629
"r_ID__Hmax[ID_107,Intercept]",10.8460937785479,0.0424521154241985,4.24521154241985,3.20240170980524,7.87458057118918,10.5907396400829,13.5330762304662,19.8821032068219,10000,0.999930859042396
"r_ID__Hmax[ID_109,Intercept]",-1.00342117482807,0.0433934143691358,4.33934143691358,-8.32230076481214,-4.10780872832333,-1.40669176949941,1.68334310587288,8.54375546998833,10000,1.00026089520472
"r_ID__Hmax[ID_111,Intercept]",8.55631459384071,0.0452690028658917,4.52690028658917,0.582276409516421,5.41024289036106,8.20149889937273,11.3423162084031,18.4353966202084,10000,0.999925359990154
"r_ID__Hmax[ID_112,Intercept]",4.70897488133009,0.0399713949351324,3.71578974829478,-1.51563952544963,2.12931080951881,4.29379999997431,6.86992613416345,13.1230770838655,8641.78893564821,1.00009835261228
"r_ID__Hmax[ID_113,Intercept]",4.71781274943071,0.0363661858024383,3.63661858024383,-1.69040929293062,2.2179628326707,4.42860605240912,6.86374439972742,12.6562124938088,10000,0.999743686729917
"r_ID__Hmax[ID_114,Intercept]",4.79387835337298,0.0522893258752629,4.00120016814752,-0.985407076332422,2.19391392224046,4.07530137084387,6.50090881464385,15.4550151244309,5855.37172281888,1.00030648421317
"r_ID__Hmax[ID_116,Intercept]",-0.99083832911592,0.0667627860107068,4.84438272784421,-7.882469739302,-4.38857829468802,-2.14002927476601,1.47039046042957,10.8616206794246,5265.11657167028,0.999963401228438
"r_ID__Hmax[ID_117,Intercept]",-2.10126312970121,0.0598493049623236,5.98493049623236,-12.6543362688115,-6.31285552727072,-2.51718702074721,1.70322245933003,10.8271265373114,10000,0.999762777068065
"r_ID__Hmax[ID_118,Intercept]",-4.16470223464298,0.0435496163890135,4.35496163890135,-11.4181938011255,-7.27511939955818,-4.59511360397031,-1.62878168236405,5.70226112965184,10000,1.00037158835061
"r_ID__Hmax[ID_119,Intercept]",-7.51752129001641,0.0491924947058186,4.19313994062514,-14.1711566030777,-10.4158082029546,-8.08135888466826,-5.26907628387267,2.47064500363886,7265.75949665256,1.00015143960029
"r_ID__Hmax[ID_12,Intercept]",-6.36758421419326,0.028941130869678,2.8941130869678,-11.3880132358719,-8.2835965276205,-6.55144389114522,-4.75913521762799,-0.075306180349773,10000,1.00018816881675
"r_ID__Hmax[ID_120,Intercept]",-8.12931748228311,0.0754584648548271,5.5367807352595,-17.2183105935948,-12.8026682930691,-8.26557133118015,-3.82678642260167,2.56602394566743,5383.92150139121,1.00172989677833
"r_ID__Hmax[ID_121,Intercept]",-6.50663512200463,0.0442604856435196,4.01074741151304,-12.8452989796987,-9.30064390811245,-7.04981712782672,-4.3427009173291,2.81460110485643,8211.4201497434,1.00005717923167
"r_ID__Hmax[ID_122,Intercept]",-11.6527089901702,0.056662259934249,4.03242601040048,-17.744048464356,-14.3734266601152,-12.3318042662534,-9.72147592615279,-1.63783083107714,5064.59860126251,1.00006770153058
