"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",66.3013831978866,0.0134299136876629,0.78788564840356,64.786680782633,65.7656010641802,66.301623845988,66.8286020629941,67.8755246896349,3441.75487650272,1.00062730414461
"b_k_Intercept",0.837571651953884,0.00026523565030562,0.0139090640461391,0.810726786601305,0.827999242471579,0.837458689765406,0.846926503868789,0.865056843664764,2749.99573004282,1.00106924794484
"b_delta_Intercept",5.46828750681194,0.00535126251632747,0.416252087929633,4.66568124541092,5.18548303945584,5.46554364293351,5.74298708333999,6.30544182073546,6050.62638152498,1.00035293476228
"b_Hmin_Intercept",23.8447026237248,0.0171050953411053,1.3791195557766,20.9411625340727,22.9621062813586,23.9008625908753,24.7966951479216,26.3877817496864,6500.59089311829,1.00024908170603
"sd_ID__Hmax_Intercept",8.56236944566342,0.0148867357336748,0.656763131217635,7.32431226464149,8.11371339172221,8.54325528268429,8.99773107857516,9.88830695717909,1946.3393885583,1.0023370136905
"sd_ID__k_Intercept",0.12583450945502,0.000195054693463205,0.00986589329116598,0.107315191101106,0.118916560233981,0.125392268611774,0.13219779823031,0.146268695090169,2558.35034881862,1.00115613113493
"sd_ID__delta_Intercept",2.43198857390411,0.00847982437238184,0.351742582957392,1.77810561339536,2.1915579031571,2.41452699259256,2.66447917101705,3.15176958826656,1720.58519524199,1.00181000096046
"sigma",4.03386222793424,0.0059175276969229,0.217612695720742,3.63706249953997,3.88116177334432,4.02558114503299,4.17544716781924,4.49232419293302,1352.34611946108,1.00380423674234
"r_ID__Hmax[Da_Ae_1,Intercept]",11.0169034289838,0.0342463183308209,3.42463183308209,4.66693427975793,8.68618351452753,10.8963868210615,13.2118701813185,18.010156593351,10000,0.999911209062495
"r_ID__Hmax[Da_Ae_2,Intercept]",17.3906871696914,0.0322093830940267,3.22093830940267,11.3148990888825,15.1868631203327,17.307291612388,19.4827841433611,24.0305695107822,10000,0.999807782158805
"r_ID__Hmax[Da_Ol1_1,Intercept]",-3.46528272328699,0.0316597861647584,3.16597861647584,-9.2405529093711,-5.6041847040939,-3.66122384152567,-1.51610181318274,3.28363993967739,10000,0.999876036000187
"r_ID__Hmax[Da_Ol1_2,Intercept]",-16.0231362151072,0.158477123107383,11.5618363152883,-31.5569913293004,-25.959815942733,-18.547482398282,-7.30771999422196,8.12284000227445,5322.55889738346,1.00062166600493
"r_ID__Hmax[Da_Ol1_3,Intercept]",-11.8664178153745,0.0282099512439851,2.82099512439851,-17.1289156065727,-13.7780490425432,-11.942968211802,-10.0810334537941,-6.14198326731816,10000,1.00017298337086
"r_ID__Hmax[F1_1,Intercept]",26.2134657719163,0.0330732202703851,3.30732202703851,19.9525242303462,23.9979720402397,26.1578776912596,28.3891042921264,32.8059847824779,10000,1.0001433740913
"r_ID__Hmax[F1_2,Intercept]",14.1449057426469,0.0347527346604609,3.47527346604609,7.56977788410272,11.7622632291127,14.0794396539065,16.3824847904505,21.190961894569,10000,1.00009090884874
