"ID","date","days","width"
"ID_1",2015-12-18,101,46.5
"ID_1",2016-01-20,134,67.5
"ID_1",2016-02-17,162,65.5
"ID_1",2016-03-16,190,76
"ID_10",2015-12-18,101,36.5
"ID_10",2016-01-20,134,49
"ID_10",2016-02-17,162,51.5
"ID_10",2016-03-16,190,50
"ID_100",2015-12-18,101,48.5
"ID_100",2016-01-20,134,60
"ID_100",2016-02-17,162,66
"ID_100",2016-03-16,190,61.5
"ID_101",2015-12-18,101,46
"ID_101",2016-01-20,134,65.5
"ID_101",2016-02-17,162,74.5
"ID_101",2016-03-16,190,56
"ID_102",2015-12-18,101,34
"ID_102",2016-01-20,134,44.5
"ID_102",2016-02-17,162,60
"ID_102",2016-03-16,190,57
"ID_103",2015-12-18,101,54
"ID_103",2016-01-20,134,60
"ID_103",2016-02-17,162,60
"ID_103",2016-03-16,190,49.5
"ID_104",2015-12-18,101,51
"ID_104",2016-01-20,134,65
"ID_104",2016-02-17,162,60.5
"ID_104",2016-03-16,190,59
"ID_105",2015-12-18,101,49
"ID_105",2016-01-20,134,46.5
"ID_105",2016-02-17,162,64.5
"ID_105",2016-03-16,190,63
"ID_106",2015-12-18,101,46
"ID_106",2016-01-20,134,55
"ID_106",2016-02-17,162,62
"ID_106",2016-03-16,190,55.5
"ID_107",2015-12-18,101,54
"ID_107",2016-01-20,134,56.5
"ID_107",2016-02-17,162,72
"ID_107",2016-03-16,190,79
"ID_109",2015-12-18,101,45.5
"ID_109",2016-01-20,134,51
"ID_109",2016-02-17,162,63
"ID_109",2016-03-16,190,56
"ID_111",2015-12-18,101,48
"ID_111",2016-01-20,134,51
"ID_111",2016-02-17,162,66.5
"ID_111",2016-03-16,190,77
"ID_112",2015-12-18,101,48.5
"ID_112",2016-01-20,134,62.5
"ID_112",2016-02-17,162,68
"ID_112",2016-03-16,190,72.5
"ID_113",2015-12-18,101,46
"ID_113",2016-01-20,134,45
"ID_113",2016-02-17,162,69.5
"ID_113",2016-03-16,190,71.5
"ID_114",2015-12-18,101,58
"ID_114",2016-01-20,134,49
"ID_114",2016-02-17,162,70.5
"ID_114",2016-03-16,190,67.5
"ID_116",2015-12-18,101,52
"ID_116",2016-01-20,134,48
"ID_116",2016-02-17,162,62.5
"ID_116",2016-03-16,190,62.5
"ID_117",2015-12-18,101,35.5
"ID_117",2016-01-20,134,37.5
"ID_117",2016-02-17,162,45.5
"ID_117",2016-03-16,190,62
"ID_118",2015-12-18,101,40
"ID_118",2016-01-20,134,46.5
"ID_118",2016-02-17,162,59.5
"ID_118",2016-03-16,190,59
"ID_119",2015-12-18,101,30.5
"ID_119",2016-01-20,134,48.5
"ID_119",2016-02-17,162,52
"ID_119",2016-03-16,190,59
"ID_12",2015-12-18,101,39
"ID_12",2016-01-20,134,58
"ID_12",2016-02-17,162,55
"ID_12",2016-03-16,190,58
"ID_120",2015-12-18,101,45.5
"ID_120",2016-01-20,134,48.5
"ID_120",2016-02-17,162,50.5
"ID_120",2016-03-16,190,51
"ID_121",2015-12-18,101,39
"ID_121",2016-01-20,134,52
"ID_121",2016-02-17,162,56
"ID_121",2016-03-16,190,58.5
"ID_122",2015-12-18,101,36
"ID_122",2016-01-20,134,50
"ID_122",2016-02-17,162,50.5
"ID_122",2016-03-16,190,52
"ID_123",2015-12-18,101,57.5
"ID_123",2016-01-20,134,47
"ID_123",2016-02-17,162,59.5
"ID_123",2016-03-16,190,67.5
"ID_124",2015-12-18,101,47.5
"ID_124",2016-01-20,134,47
"ID_124",2016-02-17,162,59
"ID_124",2016-03-16,190,62
"ID_125",2015-12-18,101,25
"ID_125",2016-01-20,134,40
"ID_125",2016-02-17,162,54
"ID_125",2016-03-16,190,44
"ID_126",2015-12-18,101,53
"ID_126",2016-01-20,134,58.5
"ID_126",2016-02-17,162,63.5
"ID_126",2016-03-16,190,60.5
"ID_127",2015-12-18,101,53.5
"ID_127",2016-01-20,134,51
"ID_127",2016-02-17,162,61
"ID_127",2016-03-16,190,69
"ID_128",2015-12-18,101,21.5
"ID_128",2016-01-20,134,42.5
"ID_128",2016-02-17,162,57
"ID_128",2016-03-16,190,49.5
"ID_129",2015-12-18,101,13.5
"ID_129",2016-01-20,134,35
"ID_129",2016-02-17,162,42.5
"ID_129",2016-03-16,190,42.5
"ID_13",2015-12-18,101,31
"ID_13",2016-01-20,134,53
"ID_13",2016-02-17,162,66
"ID_13",2016-03-16,190,48.5
"ID_130",2015-12-18,101,70.5
"ID_130",2016-01-20,134,66.5
"ID_130",2016-02-17,162,80.5
"ID_130",2016-03-16,190,70.5
"ID_132",2015-12-18,101,44
"ID_132",2016-01-20,134,60.5
"ID_132",2016-02-17,162,70.5
"ID_132",2016-03-16,190,58
"ID_133",2015-12-18,101,49
