ID,date,days,width
ID_1,12/18/15,101,46.5
ID_1,1/20/16,134,67.5
ID_1,2/17/16,162,72
ID_1,3/16/16,190,76
ID_10,12/18/15,101,36.5
ID_10,1/20/16,134,49
ID_10,2/17/16,162,51.5
ID_10,3/16/16,190,51.5
ID_100,12/18/15,101,48.5
ID_100,1/20/16,134,60
ID_100,2/17/16,162,66
ID_100,3/16/16,190,66
ID_101,12/18/15,101,46
ID_101,1/20/16,134,65.5
ID_101,2/17/16,162,74.5
ID_101,3/16/16,190,74.5
ID_102,12/18/15,101,34
ID_102,1/20/16,134,44.5
ID_102,2/17/16,162,60
ID_102,3/16/16,190,60
ID_103,12/18/15,101,54
ID_103,1/20/16,134,60
ID_103,2/17/16,162,60
ID_103,3/16/16,190,60
ID_104,12/18/15,101,51
ID_104,1/20/16,134,65
ID_104,2/17/16,162,65
ID_104,3/16/16,190,65
ID_105,12/18/15,101,49
ID_105,1/20/16,134,57
ID_105,2/17/16,162,64.5
ID_105,3/16/16,190,64.5
ID_106,12/18/15,101,46
ID_106,1/20/16,134,55
ID_106,2/17/16,162,62
ID_106,3/16/16,190,62
ID_107,12/18/15,101,54
ID_107,1/20/16,134,56.5
ID_107,2/17/16,162,72
ID_107,3/16/16,190,79
ID_109,12/18/15,101,45.5
ID_109,1/20/16,134,51
ID_109,2/17/16,162,63
ID_109,3/16/16,190,63
ID_111,12/18/15,101,48
ID_111,1/20/16,134,51
ID_111,2/17/16,162,66.5
ID_111,3/16/16,190,77
ID_112,12/18/15,101,48.5
ID_112,1/20/16,134,62.5
ID_112,2/17/16,162,68
ID_112,3/16/16,190,72.5
ID_113,12/18/15,101,46
ID_113,1/20/16,134,59
ID_113,2/17/16,162,69.5
ID_113,3/16/16,190,71.5
ID_114,12/18/15,101,58
ID_114,1/20/16,134,65
ID_114,2/17/16,162,70.5
ID_114,3/16/16,190,70.5
ID_116,12/18/15,101,52
ID_116,1/20/16,134,58
ID_116,2/17/16,162,62.5
ID_116,3/16/16,190,62.5
ID_117,12/18/15,101,35.5
ID_117,1/20/16,134,37.5
ID_117,2/17/16,162,45.5
ID_117,3/16/16,190,62
ID_118,12/18/15,101,40
ID_118,1/20/16,134,46.5
ID_118,2/17/16,162,59.5
ID_118,3/16/16,190,59.5
ID_119,12/18/15,101,30.5
ID_119,1/20/16,134,48.5
ID_119,2/17/16,162,52
ID_119,3/16/16,190,59
ID_12,12/18/15,101,39
ID_12,1/20/16,134,58
ID_12,2/17/16,162,58
ID_12,3/16/16,190,58
ID_120,12/18/15,101,45.5
ID_120,1/20/16,134,48.5
ID_120,2/17/16,162,50.5
ID_120,3/16/16,190,51
ID_121,12/18/15,101,39
ID_121,1/20/16,134,52
ID_121,2/17/16,162,56
ID_121,3/16/16,190,58.5
ID_122,12/18/15,101,36
ID_122,1/20/16,134,50
ID_122,2/17/16,162,50.5
ID_122,3/16/16,190,52
ID_123,12/18/15,101,57.5
ID_123,1/20/16,134,59
ID_123,2/17/16,162,59.5
ID_123,3/16/16,190,67.5
ID_124,12/18/15,101,47.5
ID_124,1/20/16,134,54
ID_124,2/17/16,162,59
ID_124,3/16/16,190,62
ID_125,12/18/15,101,25
ID_125,1/20/16,134,40
ID_125,2/17/16,162,54
ID_125,3/16/16,190,54
ID_126,12/18/15,101,53
ID_126,1/20/16,134,58.5
ID_126,2/17/16,162,63.5
ID_126,3/16/16,190,63.5
ID_127,12/18/15,101,53.5
ID_127,1/20/16,134,58
ID_127,2/17/16,162,61
ID_127,3/16/16,190,69
ID_128,12/18/15,101,21.5
ID_128,1/20/16,134,42.5
ID_128,2/17/16,162,57
ID_128,3/16/16,190,57
ID_129,12/18/15,101,13.5
ID_129,1/20/16,134,35
ID_129,2/17/16,162,42.5
ID_129,3/16/16,190,42.5
ID_13,12/18/15,101,31
ID_13,1/20/16,134,53
ID_13,2/17/16,162,66
ID_13,3/16/16,190,66
ID_130,12/18/15,101,70.5
ID_130,1/20/16,134,76
ID_130,2/17/16,162,80.5
ID_130,3/16/16,190,80.5
ID_132,12/18/15,101,44
ID_132,1/20/16,134,60.5
ID_132,2/17/16,162,70.5
ID_132,3/16/16,190,70.5
ID_133,12/18/15,101,49
ID_133,1/20/16,134,59
ID_133,2/17/16,162,67.5
ID_133,3/16/16,190,67.5
ID_134,12/18/15,101,25.5
ID_134,1/20/16,134,40
ID_134,2/17/16,162,59.5
ID_134,3/16/16,190,59.5
ID_135,12/18/15,101,44
ID_135,1/20/16,134,45.5
ID_135,2/17/16,162,60
ID_135,3/16/16,190,72.5
ID_136,12/18/15,101,40.5
ID_136,1/20/16,134,57
ID_136,2/17/16,162,71
ID_136,3/16/16,190,71
ID_137,12/18/15,101,42.5
ID_137,1/20/16,134,53
