"ID","days","width","width_raw"
"ID_1",101,46.5,46.5
"ID_1",134,67.5,67.5
"ID_1",162,71.5,71.5
"ID_1",190,76,76
"ID_10",101,36.5,36.5
"ID_10",134,49,49
"ID_10",162,51.5,51.5
"ID_10",190,51.5,50
"ID_100",101,48.5,48.5
"ID_100",134,60,60
"ID_100",162,66,66
"ID_100",190,66,61.5
"ID_101",101,46,46
"ID_101",134,65.5,65.5
"ID_101",162,74.5,74.5
"ID_101",190,74.5,56
"ID_102",101,34,34
"ID_102",134,44.5,44.5
"ID_102",162,60,60
"ID_102",190,60,57
"ID_103",101,54,54
"ID_103",134,60,60
"ID_103",162,60,60
"ID_103",190,60,49.5
"ID_104",101,51,51
"ID_104",134,65,65
"ID_104",162,65,60.5
"ID_104",190,65,59
"ID_105",101,49,49
"ID_105",134,55,55
"ID_105",162,64.5,64.5
"ID_105",190,64.5,63
"ID_106",101,46,46
"ID_106",134,55,55
"ID_106",162,62,62
"ID_106",190,62,55.5
"ID_107",101,54,54
"ID_107",134,56.5,56.5
"ID_107",162,72,72
"ID_107",190,79,79
"ID_109",101,45.5,45.5
"ID_109",134,51,51
"ID_109",162,63,63
"ID_109",190,63,56
"ID_111",101,48,48
"ID_111",134,51,51
"ID_111",162,66.5,66.5
"ID_111",190,77,77
"ID_112",101,48.5,48.5
"ID_112",134,62.5,62.5
"ID_112",162,68,68
"ID_112",190,72.5,72.5
"ID_113",101,46,46
"ID_113",134,63.5,63.5
"ID_113",162,69.5,69.5
"ID_113",190,71.5,71.5
"ID_114",101,58,58
"ID_114",134,51,51
"ID_114",162,70.5,70.5
"ID_114",190,70.5,67.5
"ID_116",101,52,52
"ID_116",134,44.5,44.5
"ID_116",162,62.5,62.5
"ID_116",190,62.5,62.5
"ID_117",101,35.5,35.5
"ID_117",134,37.5,37.5
"ID_117",162,45.5,45.5
"ID_117",190,62,62
"ID_118",101,40,40
"ID_118",134,46.5,46.5
"ID_118",162,59.5,59.5
"ID_118",190,59.5,59
"ID_119",101,30.5,30.5
"ID_119",134,48.5,48.5
"ID_119",162,52,52
"ID_119",190,59,59
"ID_12",101,39,39
"ID_12",134,58,58
"ID_12",162,58,55
"ID_12",190,58,58
"ID_120",101,45.5,45.5
"ID_120",134,48.5,48.5
"ID_120",162,50.5,50.5
"ID_120",190,51,51
"ID_121",101,39,39
"ID_121",134,52,52
"ID_121",162,56,56
"ID_121",190,58.5,58.5
"ID_122",101,36,36
"ID_122",134,50,50
"ID_122",162,50.5,50.5
"ID_122",190,52,52
"ID_123",101,57.5,57.5
"ID_123",134,69,69
"ID_123",162,59.5,59.5
"ID_123",190,67.5,67.5
"ID_124",101,47.5,47.5
